language_name,Lithuanian
poke_status_screen_backadvice,PASPAUDE E GRĮŠITE ATGAL
poke_status_screen_closeadvice,PASPAUSKITE E, KAD UŽDARYTI
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,Visa Turima Patirtis
poke_status_screen_nxt_lv,Kitas Lygis Už.
poke_status_screen_stats_page,Statistikos puslapis
Page 2:
poke_status_screen_OT,1-sis Treneris
poke_status_screen_Item,Daiktas
poke_status_screen_no_item,neturi daikto
poke_status_screen_ability,Sugebėjimas
poke_status_screen_details_page,Detalių puslapis
Page 3:
poke_status_screen_power,Jėga
poke_status_screen_accuracy,Taiklumas
poke_status_screen_moves_page,Atakų puslapis
---
Trainer Card Screen:
trainer_screen_trainer_card,Trenerio Kortelė
trainer_screen_name,Vardas
trainer_screen_points,Taškai
trainer_screen_money,Pinigai
trainer_screen_pokedex,Pokedeksas
trainer_screen_time,Laikas
trainer_screen_collected_badges,Surinkti ženkliukai
trainer_screen_badge, ženkliukas
trainer_screen_backadvice,PASPAUDE E GRĮŠITE ATGAL
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,Ar norite išsaugoti žaidimą?
save_screen_name,Vardas
save_screen_badges,Ženkliukai
save_screen_money,Pinigai
save_screen_time,Laikas
save_screen_yes,Taip
save_screen_no,Ne
save_screen_success,Žaidimas išsaugotas.
---
Options Screen:
option_screen_title,Nustatymai
option_screen_warning,Options aren't saved yet, scroll down and choose "Save options."
option_screen_backadvice,PASPAUDE E GRĮŠITE ATGAL
option_screen_description,Aprašymas
option_screen_textspeed,Teksto greitis
option_screen_textspeed_description,The speed the textbox shows up and~displays the text
option_screen_fov,Regos Laukas
option_screen_fov_description,The field of view. The higher the value is,~the more you can see.~Warning: Too large value can cause lags in larger maps.
option_screen_mousespeed,Pelės Jautrumas
option_screen_mousespeed_description,The Mousespeed sets the speed on which the~mouse can rotate the view.
option_screen_volume,Garsas
option_screen_volume_description,The volume of the background music.~This settings is for all save states.
option_screen_render_distance,RenderDistance
option_screen_render_distance_tiny,Tiny
option_screen_render_distance_short,Short
option_screen_render_distance_normal,Normal
option_screen_render_distance_far,Far
option_screen_render_distance_extreme,Extreme
option_screen_render_distance_description,The renderdistance determines,~how far you can see.~By turning this down, you can improve your FPS.
option_screen_graphics,Graphics
option_screen_graphics_fancy,Fancy
option_screen_graphics_fast,Fast
option_screen_graphics_description,Affects if some objects are rendered~or not. By turning this down, you can improve your FPS.~This settings is for all save states.
option_screen_offset_map_quality,Offset map quality
option_screen_offset_map_off,Off
option_screen_offset_map_quality_description,Sets the quality of the offset maps.~The details and update frequency of offset maps increase with this value.~Set this value to 0 to prevent the game from loading offset maps.
option_screen_animations_in_battle,Animations in battle
option_screen_animations_in_battle_no,No
option_screen_animations_in_battle_attacks_off,Attacks off
option_screen_animations_in_battle_yes,Yes
option_screen_animations_in_battle_description,Determines if the game shows battle animations.
option_screen_difficulty,Difficulty
option_screen_difficulty_description,Difficulty mode~Sets the level of difficulty.
option_screen_battle_style,BattleStyle
option_screen_battle_style_shift,Shift
option_screen_battle_style_set,Set
option_screen_battle_style_description,Battle Style~Set: You are not asked to switch out your Pokémon~Shift: You can switch out your Pokémon after defeating an opponent.
option_screen_view_bobbing,View bobbing
option_screen_view_bobbing_description,Turns camera shaking on or off.
option_screen_reset_options,Reset options.
option_screen_reset_options_description,Resets all options.
option_screen_save_options,Save options.
option_screen_save_options_description,Save the options and close the menu.
option_screen_close_menu,Close menu.
option_screen_close_menu_description,Close the menu and do not save~the changes.
---
Item Detail Screen:
item_detail_screen_use,Naudoti
item_detail_screen_give,Duoti
item_detail_screen_trash,Išmesti
item_detail_screen_back,Atgal
item_detail_screen_give_item,Duoti
---
Apricorn Screen:
apricorn_screen_apricorns,Aprikornai
apricorn_screen_producing,Aš šiuo momentu gaminu rutulius.~Grįžkite vėliau.
apricorn_screen_backadvice,PASPAUDE E GRĮŠITE ATGAL
apricorn_screen_choose_apricorns,Pasirinkite Aprikornus iš kūrių norite, kad pagaminčiau Poke rutulių
apricorn_screen_ok,GERAI
apricorn_screen_clear,Išvalyti
apricorn_screen_take,Paimti
apricorn_screen_ready,Aš baigiau gaminti Poke rutulius. Štai mano darbo vaisiai:
apricorn_screen_obtain, gauti
---
Daycare Screen:
daycare_screen_daycare,Vaikų Darželis
daycare_screen_money, / Pinigai: 
daycare_screen_deposit,Indėlis
daycare_screen_grown,Auginamas: 
daycare_screen_lv, / Lv. 
daycare_screen_costs, / Užmokestis:
daycare_screen_pokedollar, Poke Pinigai
daycare_screen_withdraw,Atsiimti
daycare_screen_backadvice,PASPAUDE E GRĮŠITE ATGAL
daycare_screen_pokemon_choose_header,Įduotas Pokemonas
Egg,Kiaušinis
---
Network Screen:
network_screen_isonline,You are in a co-op game already! Please close the connection~to open a new game or connect again!~~~Press E to go back!
network_screen_header,Co-Op Gameplay
network_screen_main_header,You can either join a game or host a~new one to play together with a friend.
network_screen_main_join,Prisijungti
network_screen_main_host,Pakurti
network_screen_main_close,Uždaryto
network_screen_join_header,Join a game:~Enter the IP address of the hosted game.
network_screen_join_cancel,Atšaukti
network_screen_join_join,Prisijungti
network_screen_host_header,Host a game:~You are about to open your~game for other players in your network.
network_screen_host_cancel,Atšaukti
network_screen_host_host,Pakurti
---
Donation screen:
donation_screen_donators,Aukotojai
donation_screen_backadvice,Paspauskite e, kad uždaryti
---
Blackout Screen:
black_out_screen_line1,Jūsų visi Pokemonai jau be samonės.
black_out_screen_line2,Jūs būsite nuveštas
black_out_screen_line3,į artimiausią Pokemonų Centrą
black_out_screen_line4,siekiant užkirsti kelią tolesnei žalai
black_out_screen_line5,jūsų Pokemonams.
---
Battle:
---
main:
battle_main_trainer_sent_out_1, sent out~
battle_main_trainer_sent_out_2,.
battle_main_trainer_sent_out_3, is about~to send out~
battle_main_trainer_sent_out_4,!~Do you want to switch~your Pokémon?
battle_main_trainer_sent_out_5,Yes
battle_main_trainer_sent_out_6,No
battle_main_choose_pokemon,Choose Pokémon
battle_main_wild_appear_1,Lauikinis 
battle_main_wild_appear_2,~pasirodė!
battle_main_trainer_intro_1, and~
battle_main_trainer_intro_2, want~to battle!
battle_main_trainer_intro_3, wants~to battle!
battle_main_intro_1,GO! 
battle_main_intro_2,!
battle_main_trainer_defeat_1,~was defeated!
battle_main_trainer_defeat_2, and~
battle_main_trainer_defeat_3,~were defeated!
battle_main_trainer_defeat_4, got 
battle_main_trainer_defeat_5,~PokéDollars for winning!
---
attackTurn:
battle_attack_poison_damage,~buvo sužeistas nuodų!
battle_attack_curse_damage,~is afflicted by the curse!
battle_attack_fire_damage,~buvo sužeistas, nes dega!
battle_attack_trainer_item_1, panaudojo~
battle_attack_trainer_item_2,!
battle_attack_asleep, greitai~užmigo.
battle_attack_woke_up, prabudo!
battle_attack_paralyzed, yra paralyžiuotas!~Negali pajudėti!
battle_attack_frozen_free, is no~longer frozen!
battle_attack_frozen, is frozen~solid!
battle_attack_flinched, išgasdintas!
battle_attack_no_longer_confused, nebėra~sumišęs!
battle_attack_confused, yra~sumišęs.
battle_attack_hit_self_confusion, hits itself~in confusion!
battle_attack_no_PP_left, has~no PP left!*
battle_attack_used, panaudojo 
---
Badges:
badge_Boulder,Riedulio
badge_Cascade,Kaskados
badge_Thunder,Žaibo
badge_Rainbow,Vaivorekštės
badge_Soul,Sielos
badge_Marsh,Pelkės
badge_Volcano,Vulkano
badge_Earth,Žemės
badge_Zephyr,Zefyro
badge_Hive,Avilio
badge_Plain,Lygumos
badge_Fog,Rūko
badge_Storm,Audros
badge_Mineral,Mineralo
badge_Glacier,Ledyno
badge_Rising,Iškilimo
---
Regions:
Johto,Džotas
Kanto,Kantas
Hoenn,Kauptukas
---
Places:
Places_???,???

Towns:
Places_New Bark Town,Naujosios Žievės Miestelis
Places_Cherrygrove City,Vyšsnių Giraitės Miestas
Places_Violet City,Žibuoklės Miestas
Places_Azalea Town,Azalijos Miestelis
Places_Goldenrod City,Auksinės Lazdelės Miestas
Places_Ecruteak City,Ekrutikos Miestas
Places_Olivine City,Olivinis Miestas
Places_Cianwood City,Rąstmeždių Miestas
Places_Mahogany Town,Raudonmedžio Miestelis
Places_Blackthorn City,Erškėčių Miestas
Places_Pallet Town,Paletės Miestelis
Places_Viridian City,Pradmenų Miestas
Places_Saffron City,Šafrano Miestas
Places_Pewter City,Alavinių Indų Miestas
Places_Cerulean City,Žydrasis Miestas
Places_Celadon City,Jūros Spalvos Miestas
Places_Vermilion City,Cinoberio Miestas
Places_Fuchsia City,Fuksijos Miestas
Places_Cinnabar Island,Gyvsidabrio Sala
Places_Lavender Town,Levandos Miestelis
Places_One Island,Pirmoji Sala
Places_Two Island,Antroji Sala
Places_Three Island,Trečioji Sala
Places_Four Island,Ketvirtoji Sala
Places_Five Island,Penktoji Sala
Places_Six Island,Šeštoji Sala
Places_Seven Island,Septintoji Sala
Places_Littleroot Town,Šaknelės Miestelis
Places_Oldale Town,Senojo Klonio Miestelis
Places_Petalburg City,Žiedlapio Miestas
Places_Rustboro City,Rūdžborio Miestas
Places_Dewford Town,Braidančios Rasos Miestelis
Places_Staleport City,Šiferio Uosto Miestas
Places_Mauville City,Draugiškas Miestas
Places_Verdanturf Town,Vėjo Durpių Miestelis
Places_Fallarbor Town,Krentančių Lapų Miestelis
Places_Lavaridge Town,Lavos Keteros Miestelis
Places_Fortree City,Medžių Forto Miestas
Places_Lilycove City,Lelyjos Įlankėlės Miestas
Places_Mossdeep City,Gilios Pelkės Miestas
Places_Sootopolis City,Sotopolio Miestas
Places_Pacifidlog Town,Ramiojo Vandenyno Rąstų Miestelis
Places_Ever Grande City,Visados Didis Miestas
Places_Twinleaf Town,Dvilapis Miestelis
Places_Sandgem Town,Smėlėto Perlo Miestelis
Places_Jubilife City,Pažengęs Miestas
Places_Oreburgh City,Nedidelis Rūdos Miestas
Places_Floaroma Town,Gėlių Aromato Miestelis
Places_Eterna City,Amžinasis Miestas
Places_Hearthome City,Širdies Vidaus Miestas
Places_Solaceon Town,Ramybės Miestelis
Places_Veilstone City,Akmens Šydo Miestas
Places_Pastoria City,Prašalinės Upės Miestas
Places_Celestic Town,Dangiškasis Miestelis
Places_Canalave City,Skalaujančio Kanalo Miestas
Places_Snowpoint City,Sniego Taško Miestas
Places_Sunyshore City,Saulėtos Pakrantės Miestas
Places_Pokémon League,Pokemonų Lyga
Places_Fight Area,Kovos Zona
Places_Survival Area,Išgyvenimo Zona
Places_Resort Area,Poilsiavietė

Special Houses:
Places_Gate,Vartai
Places_Pokemon Center,Pokemonų Centras
Places_Pokemon Mart,Pokemonų Parduotuvė
Places_Elms lab,Beržo Labaratorija
Places_Azalea Town Gym,Azalijos Gimnastikos Salė
Places_Violet City Gym,Žibuoklės Gimnastikos Salė
Places_Goldenrod City Gym,Auksinės Lazdelės Gimnastikos Salė
Places_Ecruteak City Gym,Ekrutikos Gimnastikos Salė
Places_Cianwood City Gym,Rąstmedžių Gimnastikos Salė
Places_Olivine City Gym,Olivinio Gimnastikos Salė
Places_Mahogany City Gym,Raudonmedžio Gimnastikos Salė
Places_Blackthorn City Gym,Erškėčių Gimnastikos Salė
Places_Your House,Jūsų Namas
Places_Your Room,Jūsų Kambarys
Places_Daycare,Vaikų Darželis
Places_League Reception Gate,Lygos Registratūra
Places_Pewter City Gym,Alavinių Indų Gimnastikos Salė
Places_Cerulean City Gym,Žydrojo Gimnastikos Salė
Places_Vermilion City Gym,Cinoberio Gimnastikos Salė
Places_Celadon City Gym,Jūros Spalvos Gimnastikos Salė
Places_Fuchsania City Gym,Fuksijos Gimnastikos Salė
Places_Saffron City Gym,Šafrano Gimnastikos Salė
Places_Cinnabar City Gym,Gyvsidabrio Gimnastikos Salė
Places_Viridian City Gym,Pradmenų Gimnastikos Salė
Places_Dance Theater,Šokių Tetras
Places_Lighthouse,Švyturys
Places_Team Rocket HQ,Raketos Komandos Būstinė
Places_Radio Tower,Auksinės Lazdelės Radijo Bokštas
Places_Lavender Radio Tower,Levandos Radijo Bokštas
Places_Petalburg City Gym,Žiedlapio Gimnastikos Salė
Places_Rustboro City Gym,Rūdžborio Gimnastikos Salė
Places_Dewford Town Gym,Braidančios Rasos Gimnastikos Salė
Places_Mauville City Gym,Draugiško Gimnastikos Salė
Places_Lavaridge Town Gym,Lavos Keteros Gimnastikos Salė
Places_Fortree City Gym,Medžių Forto Gimnastikos Salė
Places_Mossdeep City Gym,Gilios Pelkės Gimnastikos Salė
Places_Sootopolis City Gym,Sotopolio Gimnastikos Salė
Places_Hotel Grand Lake,Viešbutis Didysis Ežeras
Places_Oreburgh City Gym,Nedidelis Rūdos Gimnastikos Salė
Places_Eterna City Gym,Ažinasis Gimnastikos Salė
Places_Hearthome City Gym,Širdies Vidaus Gimnastikos Salė
Places_Veilstone City Gym,Akmens Šydo Gimnastikos Salė
Places_Pastoria City Gym,Prašalinės Upės Gimnastikos Salė
Places_Canalave City Gym,Skalaujančio Kanalo Gimnastikos Salė
Places_Snowpoint City Gym,Sniego Taško Gimnastikos Salė
Places_Sunyshore City Gym,Saulėtos Pakrantės Gimnastikos Salė

Dungeons:
Places_Ilex Forest,Vabždžių Miškas
Places_Dark Cave,Tamsos Urvas
Places_Ruins of Alph,Alfos Griuvėsiai
Places_Slowpoke Well,Lėtapėdžio Šulinys
Places_Sprout Tower,Daigų Bošktas
Places_Union Cave,Sąjungos Urvas
Places_Mt. Mortar,Skiedinio Kalnas
Places_Tin Tower,Alavo Bokštas
Places_Tin Tower Peak,Alavo Bokšto Viršūnė
Places_Burned Tower,Sudegęs Bokštas
Places_Glitter Lighthouse,Blizgučių Švyturys
Places_Ice Path,Ledo Perėja
Places_National Park,Nacionalinis Parkas
Places_Whirl Islands,Sūkurio Salos
Places_Lake of Rage,Įniršio Ežeras
Places_Underground,Požemis
Places_Dragon's Den,Drakonų Irštva
Places_Tohjo Falls,Todžio Krioklys
Places_Victory Road,Pergalės Kelias
Places_Mt. Silver,Sidabro Kalnas
Places_Indigo Plateau,Indigo Plienaukštė
Places_Safari Zone,Safaris
Places_Viridian Forest,Pradmenų Miškas
Places_Cerulean Cave,Žydrasis Urvas
Places_Power Plant,Elektrinė
Places_Rock Tunnel,Akmenų Tunelis
Places_Seafoam Islands,Seafoam Islands
Places_Pal Park,Bičiulių Parkas
Places_Diglett's Cave,Digletų Urvas
Places_Mt. Moon,Mėnulio Kalnas
Places_Mt. Ember,Žarijų Kalnas
Places_Three Isle Path,Trečiosios Salos Perėja
Places_Berry Forest,Vaisių Miškas
Places_Icefall Cave,Užšalusio Krioklio Urvas
Places_Lost Cave,Dingęs Urvas
Places_Trainer Tower,Trenerio Bokštas
Places_Altering Cave,Modifikuotas Urvas
Places_Pattern Bush,Raštų Krūmas
Places_Dotted Hole,Taškuota Skylė
Places_Ancient Ruins,Senoviniai Griuvėsiai
Places_Millenial Star Tower,Tūkstantmečio Kometos Bokštas
Places_Kolben Tower,Stūmoklio Bokštas
Places_Petalburg Woods,Žiedlapio Miškai
Places_Rusturf Tunnel,Nykstančių Durpių Tunelis
Places_Granite Cave,Granito Urvas
Places_New Mauville,Naujesis Draugiškumas
Places_Mt. Chimney,Kamino Kalnas
Places_Seafloor Cavern,Jūros Dugno Kaverna
Places_Meteor Falls,Meteorų Kriokliai
Places_Shoal Cave,Seklumos Urvas
Places_Mt. Pyre,Kremacijos Laužo Kalnas
Places_Jagged Pass, Dantyta Perėja
Places_Abandoned Ship,Apleistas Laivas
Places_Desert Underpass,Apleistas Tunelis
Places_Mirage Tower,Miražo Bokštas
Places_Lake Verity,Tiesos Ežeras
Places_Eterna Forest,Ažinasis Miškas
Places_Mt. Coronet,Vainikėlio Kalnas
Places_Solaceon Ruins,Ramybės Griūvėsiai
Places_Lake Valor,Drąsos Ežeras
Places_Great Marsh,Didžioji Pelkė
Places_Lake Acuity,Išklausimo Ežeras
Places_Snowpoint Temple,Sniego Taško Šventykla
Places_Sendoff Spring,Išlydėjimo Versmė
Places_Stark Mountain,Atšiaurus Kalnas

Routes:
Places_Route 1,1-sis Maršrutas
Places_Route 2,2-sis Maršrutas
Places_Route 3,3-sis Maršrutas
Places_Route 4,4-sis Maršrutas
Places_Route 5,5-sis Maršrutas
Places_Route 6,6-sis Maršrutas
Places_Route 7,7-sis Maršrutas
Places_Route 8,8-sis Maršrutas
Places_Route 9,9-sis Maršrutas
Places_Route 10,10-sis Maršrutas
Places_Route 11,11-sis Maršrutas
Places_Route 12,12-sis Maršrutas
Places_Route 13,13-sis Maršrutas
Places_Route 14,14-sis Maršrutas
Places_Route 15,15-sis Maršrutas
Places_Route 16,16-sis Maršrutas
Places_Route 17,17-sis Maršrutas
Places_Route 18,18-sis Maršrutas
Places_Route 19,19-sis Maršrutas
Places_Route 20,20-sis Maršrutas
Places_Route 21,21-sis Maršrutas
Places_Route 22,22-sis Maršrutas
Places_Route 23,23-sis Maršrutas
Places_Route 24,24-sis Maršrutas
Places_Route 25,25-sis Maršrutas
Places_Route 26,26-sis Maršrutas
Places_Route 27,27-sis Maršrutas
Places_Route 28,28-sis Maršrutas
Places_Route 29,29-sis Maršrutas
Places_Route 30,30-sis Maršrutas
Places_Route 31,31-sis Maršrutas
Places_Route 32,32-sis Maršrutas
Places_Route 33,33-sis Maršrutas
Places_Route 34,34-sis Maršrutas
Places_Route 35,35-sis Maršrutas
Places_Route 36,36-sis Marštutas
Places_Route 37,37-sis Maršrutas
Places_Route 38,38-sis Maršrutas
Places_Route 39,39-sis Maršrutas
Places_Route 40,40-sis Maršrutas
Places_Route 41,41-sis Maršrutas
Places_Route 42,42-sis Maršrutas
Places_Route 43,43-sis Maršrutas
Places_Route 44,44-sis Maršrutas
Places_Route 45,45-sis Maršrutas
Places_Route 46,46-sis Maršrutas
Places_Route 47,47-sis Maršrutas
Places_Route 48,48-sis Maršrutas
Places_Route 101,101-sis Maršrutas
Places_Route 102,102-sis Maršrutas
Places_Route 103,103-sis Maršrutas
Places_Route 104,104-sis Maršrutas
Places_Route 105,105-sis Maršrutas
Places_Route 106,106-sis Maršrutas
Places_Route 107,107-sis Maršrutas
Places_Route 108,108-sis Maršrutas
Places_Route 109,109-sis Maršrutas
Places_Route 110,110-sis Maršrutas
Places_Route 111,111-sis Maršrutas
Places_Route 112,112-sis Maršrutas
Places_Route 113,113-sis Maršrutas
Places_Route 114,114-sis Maršrutas
Places_Route 115,115-sis Maršrutas
Places_Route 116,116-sis Maršrutas
Places_Route 117,117-sis Maršrutas
Places_Route 118,118-sis Maršrutas
Places_Route 119,119-sis Maršrutas
Places_Route 120,120-sis Maršrutas
Places_Route 121,121-sis Maršrutas
Places_Route 122,122-sis Maršrutas
Places_Route 123,123-sis Maršrutas
Places_Route 124,124-sis Maršrutas
Places_Route 125,125-sis Maršrutas
Places_Route 126,126-sis Maršrutas
Places_Route 127,127-sis Maršrutas
Places_Route 128,128-sis Maršrutas
Places_Route 129,129-sis Maršrutas
Places_Route 130,130-sis Maršrutas
Places_Route 131,131-sis Maršrutas
Places_Route 132,132-sis Maršrutas
Places_Route 133,133-sis Maršrutas
Places_Route 134,134-sis Maršrutas
Places_Route 201,201-sis Maršrutas
Places_Route 202,202-sis Maršrutas
Places_Route 203,203-sis Maršrutas
Places_Route 204,204-sis Maršrutas
Places_Route 205,205-sis Maršrutas
Places_Route 206,206-sis Maršrutas
Places_Route 207,207-sis Maršrutas
Places_Route 208,208-sis Maršrutas
Places_Route 209,209-sis Maršrutas
Places_Route 210,210-sis Maršrutas
Places_Route 211,211-sis Maršrutas
Places_Route 212,212-sis Maršrutas
Places_Route 213,213-sis Maršrutas
Places_Route 214,214-sis Maršrutas
Places_Route 215,215-sis Maršrutas
Places_Route 216,216-sis Maršrutas
Places_Route 217,217-sis Maršrutas
Places_Route 218,218-sis Maršrutas
Places_Route 219,219-sis Maršrutas
Places_Route 220,220-sis Maršrutas
Places_Route 221,221-sis Maršrutas
Places_Route 222,222-sis Maršrutas
Places_Route 223,223-sis Maršrutas
Places_Route 224,224-sis Maršrutas
Places_Route 225,225-sis Maršrutas
Places_Route 226,226-sis Maršrutas
Places_Route 227,227-sis Maršrutas
Places_Route 228,228-sis Maršrutas
Places_Route 229,229-sis Maršrutas
Places_Route 230,230-sis Maršrutas

Places_Treasure Beach,Lobių Paplūdimys
Places_Kindle Road,Liepsnojantis Kelias
Places_Cape Brink,Kyšulio Kraštas
Places_Three Isle Port,Trečiosios Salos Uostas
Places_Bond Bridge,Ryšio Tiltas
Places_Five Isle Meadow,Penktosios Salos Pieva
Places_Memorial Pillar,Memorialinis Ramstis
Places_Water Labyrinth,Vandens Laberintas
Places_Resort Gorgeous,Puikus Kurortas
Places_Water Path,Vandens Perėja
Places_Grass Path,Žolės Perėja
Places_Outcast Island,Tremtinių Sala
Places_Ruin Valley,Pražūties Slėnis
Places_Canyon Entrance,Kanjono Įėjimas
Places_Sevault Canyon,Septynskliaustis Kanjonas
Places_Tanoby Ruins,Tanobio Griuvėsiai
Places_Safari Zone Gate,Safario Vartai
Places_S.S. Aqua,Garlaivis Akva
Places_Elite 4,Elitinis Ketvirtas
Places_Indigo Plateau,Indigo Plienaukštė
Places_Twirl Forest,Besisukantis Miškas
Places_Berry Vista,Šiltnamis
Places_Battle Frontier,Kovų Siena
Places_Battle Tower,Kovų Bokštas
Places_Battle Factory,Kovų Faktorius
Places_Rocket Warehouse,Raketos Komandos Sandėlis

---
Item categories:
item_category_Standard,Standartiniai Daiktai
item_category_Medicine,Medikamentai
item_category_Machines,Atakos
item_category_Pokéballs,Poke Rutuliai
item_category_Plants,Augalai
item_category_KeyItems,Raktiniai Daiktai
item_category_BattleItems,Kovos Daiktai
item_category_Mail,Laiškai
---
GameMessages:
game_message_screenshot,Ekrano fotografija išsaugota kaip 
game_message_screenshot_failed,Negali nufotografuoti ekrano
game_message_fullscreen_on,Viso ekrano rėžimas įjungtas
game_message_fullscreen_off,Viso ekrano rėžimas išjungtas
game_message_third_person_on,Trečiojo asmens rėžimas įjungtas.
game_message_third_person_off,Trečiojo asmens rėžimas išjungtas.
game_message_free_camera_on,Laisvos kameros rėžimas įjungtas.
game_message_free_camera_off,Laisvos kameros rėžimas išjungtas.
game_message_music_on,Muzika įjungta
game_message_music_off,Muzika išjungta
game_message_continue_autosave,Continued save state:
---
Online:
game_message_close_connection,Jūs uždarėte kooperatyvinį žaidimą.
game_message_disconncet,Jūs praradote ryšį su serveriu.
game_message_cannot_connect_client_1,Negalite susijunkti su serveriu (
game_message_cannot_connect_client_2,)!
game_message_client_connect_1,Jūs prisijungite prie žaidimo (
game_message_client_connect_2,)!
game_message_client_host_closed_1,Serveris (
game_message_client_host_closed_2,) uždarė jungtį.
game_message_client_outdated_newer_version,Jūs turite pasenusę arba naujesnę žaidimo versiją.
game_message_host_session_started,Jūs (host) pradėjote kooperatyvinę sesiją.
game_message_host_outdated_newer_version,Klijanto žaidimo versiją netitinka serverio.
game_message_host_client_accept,Klijantas prisijungė prie žaidimo!
game_message_host_client_disconnect,Klijantas prarado ryšį! Kooperatyvi sesija buvo uždaryta.
---
General:
HP,Gyvybės
