language_name,Polski
pokedex_data_page_habitat,Habitat
pokedex_data_page_evolution,Evolution
pokedex_habitat_area_unknown,Area Unknown.
pokedex_evolution_no_evolutions,doesn't evolve.
----
Receiving Items:
item_received_single,Received the~
item_received_multiple,Received
item_found,<player.name> found~
item_stored_in_pocket_single_start,<Player.Name> stored it in the~
item_stored_in_pocket_single_end,pocket.
item_stored_in_pocket_multiple_start,<Player.Name> stored them~in the
item_stored_in_pocket_multiple_end,pocket.
item_handed_over_single,<Player.Name> handed over the~
item_handed_over_multiple,<Player.Name> handed over the~

Berries:
berry_picked_single_start,<Player.Name> picked the~
berry_picked_single_end,Berry.
berry_picked_multiple_start,<Player.Name> picked the~
berry_picked_multiple_end,Berries.
----
Battle:
battle_trainer_about_to_send_out_1,is about to send out
battle_trainer_about_to_send_out_2,! Do you want to switch your Pokémon?
battle_choose_pokemon,Choose Pokémon
battle_switch_already_in_battle,is already~in battle!
battle_switch_fainted,is fainted!
battle_switch_egg,Cannot switch in~the egg!
battle_cannot_switch,Cannot switch out.
battle_cannot_run,Failed to run away.
battle_cannot_run_ability,Failed to run away because of~
battle_MoveDisabled,Disabled!
battle_NoSafariBalls,No Safari Balls.
battle_NoSportBalls,No Sport Balls.
battle_ThrowMud,Throw Mud
battle_ThrowBait,Throw Bait
battle_Run,Run
battle_Battle,Battle
battle_Bag,Bag
battle_Surrender,Poddaj się
battle_action_MegaEvolve,Mega Evolve!
---
Badges:
badge_1,Boulder
badge_2,Cascade
badge_3,Thunder
badge_4,Rainbow
badge_5,Soul
badge_6,Marsh
badge_7,Volcano
badge_8,Earth
badge_9,Zephyr
badge_10,Hive
badge_11,Plain
badge_12,Fog
badge_13,Storm
badge_14,Mineral
badge_15,Glacier
badge_16,Rising
---
Regions:
Johto,Johto
Kanto,Kanto
Sevii Islands,Sevii Islands
---
Places:
Places_???,???

Towns:
Places_New Bark Town,New Bark Town
Places_Cherrygrove City,Cherrygrove City
Places_Violet City,Violet City
Places_Azalea Town,Azalea Town
Places_Goldenrod City,Goldenrod City
Places_Ecruteak City,Ecruteak City
Places_Olivine City,Olivine City
Places_Cianwood City,Cianwood City
Places_Mahogany Town,Mahogany Town
Places_Blackthorn City,Blackthorn City
Places_Pallet Town,Pallet Town
Places_Viridian City,Viridian City
Places_Saffron City,Saffron City
Places_Pewter City,Pewter City
Places_Cerulean City,Cerulean City
Places_Celadon City,Celadon City
Places_Vermilion City,Vermilion City
Places_Fuchsia City,Fuchsia City
Places_Cinnabar Island,Cinnabar Island
Places_Lavender Town,Lavender Town
Places_One Island,One Island
Places_Two Island,Two Island
Places_Three Island,Three Island
Places_Four Island,Four Island
Places_Five Island,Five Island
Places_Six Island,Six Island
Places_Seven Island,Seven Island

Special Houses:
Places_Gate,Gate
Places_Pokemon Center,Pokémon Center
Places_Pokemon Mart,Pokémon Mart
Places_Elms lab,Elm's Lab
Places_Oak's lab,Oak's Lab
Places_Azalea Town Gym,Azalea Town Gym
Places_Violet City Gym,Violet City Gym
Places_Goldenrod City Gym,Goldenrod City Gym
Places_Ecruteak City Gym,Ecruteak City Gym
Places_Cianwood City Gym,Cianwood City Gym
Places_Olivine City Gym,Olivine City Gym
Places_Mahogany City Gym,Mahogany City Gym
Places_Blackthorn City Gym,Blackthorn City Gym
Places_Your House,Your House
Places_Your Room,Your Room
Places_Daycare,Daycare
Places_Pewter City Gym,Pewter City Gym
Places_Cerulean City Gym,Cerulean City Gym
Places_Vermilion City Gym,Vermilion City Gym
Places_Celadon City Gym,Celadon City Gym
Places_Fuchsia City Gym,Fuchsia City Gym
Places_Saffron City Gym,Saffron City Gym
Places_Cinnabar Gym,Cinnabar Gym
Places_Viridian City Gym,Viridian City Gym
Places_Dance Theater,Dance Theater
Places_Lighthouse,Lighthouse
Places_Team Rocket HQ,Team Rocket HQ
Places_Radio Tower,Radio Tower
Places_Seaplane Port,Seaplane Port

Dungeons:
Places_Ilex Forest,Ilex Forest
Places_Dark Cave,Dark Cave
Places_Ruins of Alph,Ruins of Alph
Places_Slowpoke Well,Slowpoke Well
Places_Sprout Tower,Sprout Tower
Places_Union Cave,Union Cave
Places_Mt. Mortar,Mt. Mortar
Places_Bell Tower,Tin Tower
Places_Tin Tower,Tin Tower
Places_Tin Tower Peak,Tin Tower Peak
Places_Burned Tower,Burned Tower
Places_Glitter Lighthouse,Glitter Lighthouse
Places_Ice Path,Ice Path
Places_National Park,National Park
Places_Whirl Islands,Whirl Islands
Places_Lake of Rage,Lake of Rage
Places_Underground,Underground
Places_Dragon's Den,Dragon's Den
Places_Tohjo Falls,Tohjo Falls
Places_Victory Road,Victory Road
Places_Mt. Silver,Mt. Silver
Places_Diamond Dive,Diamond Dive
Places_Indigo Plateau,Indigo Plateau
Places_Safari Zone,Safari Zone
Places_Viridian Forest,Viridian Forest
Places_Cerulean Cave,Cerulean Cave
Places_Power Plant,Power Plant
Places_Rock Tunnel,Rock Tunnel
Places_Seafoam Islands,Seafoam Islands
Places_Pal Park,Pal Park
Places_Diglett's Cave,Diglett's Cave
Places_Mt. Moon,Mt. Moon
Places_Mt. Ember,Mt. Ember
Places_Three Isle Path,Three Isle Path
Places_Berry Forest,Berry Forest
Places_Icefall Cave,Icefall Cave
Places_Lost Cave,Lost Cave
Places_Trainer Tower,Trainer Tower
Places_Altering Cave,Altering Cave
Places_Pattern Bush,Pattern Bush
Places_Dotted Hole,Dotted Hole
Places_Tanoby Chambers,Tanoby Chambers
Places_Tanoby Key,Tanoby Key
Places_Monean Chamber,Monean Chamber
Places_Liptoo Chamber,Liptoo Chamber
Places_Weepth Chamber,Weepth Chamber
Places_Dilford Chamber,Dilford Chamber
Places_Scrufib Chamber,Scrufib Chamber
Places_Rixy Chamber,Rixy Chamber
Places_Viapois Chamber,Viapois Chamber
Places_Ancient Ruins,Ancient Ruins
Places_Millennial Star Tower,Millennial Star Tower
Places_Kolben Tower,Kolben Tower
Places_Faraway Island,Faraway Island
Places_Underwater Cave,Underwater Cave
Places_Embedded Tower,Embedded Tower
Places_Liberty Garden,Liberty Garden

Routes:
Places_Route 1,Route 1
Places_Route 2,Route 2
Places_Route 3,Route 3
Places_Route 4,Route 4
Places_Route 5,Route 5
Places_Route 6,Route 6
Places_Route 7,Route 7
Places_Route 8,Route 8
Places_Route 9,Route 9
Places_Route 10,Route 10
Places_Route 11,Route 11
Places_Route 12,Route 12
Places_Route 13,Route 13
Places_Route 14,Route 14
Places_Route 15,Route 15
Places_Route 16,Route 16
Places_Route 17,Route 17
Places_Route 18,Route 18
Places_Route 19,Route 19
Places_Route 20,Route 20
Places_Route 21,Route 21
Places_Route 22,Route 22
