language_name,Türkçe
trainer_screen_backadvice,GERI DÖNMEK IÇIN E'YE BAS
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,Oyunu kaydetmek istiyormusun?
save_screen_name,Isim
save_screen_badges,Rozetler
save_screen_money,Para
save_screen_time,Zaman
save_screen_yes,Evet
save_screen_no,Hayir
save_screen_success,Oyun kaydedildi.
---
Options Screen:
option_screen_title,Seçenekler
option_screen_warning,Degisiklikler kaydedilmedi, asagiya bakip "seçenekleri kaydet." i seçin
option_screen_backadvice,GERI DÖNMEK IÇIN E'YE BAS
option_screen_description,Bilgiler
option_screen_textspeed,Yazi hizi
option_screen_textspeed_description,Yazi kutucugunun belirmesi~ve yazilarin gösterilmesi hizi
option_screen_fov,Görüs alani
option_screen_fov_description,Görüs alani. Daha yüksek deger,~daha uzagi görmeni saglar.~Uyari: Çok yüksek deger oyun hizini düsürebilir.
option_screen_mousespeed,Fare hizi
option_screen_mousespeed_description,Fare hizi~farenin yönlendirilmesi hizini belirler.
option_screen_volume,Ses ayari
option_screen_volume_description,Arka plan müziginin~sesini ayarlar.
option_screen_render_distance,Olusturma uzakligi
option_screen_render_distance_tiny,Çok kisa
option_screen_render_distance_short,Kisa
option_screen_render_distance_normal,Normal
option_screen_render_distance_far,Uzak
option_screen_render_distance_extreme,Asiri uzak
option_screen_render_distance_description,Olusturma uzakligi,~oyun içi nesnelerin, binalar v.b. ne kadar uzaktan görülebilecegini ayarlar.~Bu ayari düsürerek oyun hizinizi arttirabilirsiniz.
option_screen_graphics,Grafikler
option_screen_graphics_fancy,Yüksek
option_screen_graphics_fast,Hizli
option_screen_graphics_description,Bazi nesnelerin olusturulup olusturulmamasini belirler~Hizli ayari seçerek oyun hizinizi arttirabilirsiniz.
option_screen_offset_map_quality,Sabitlenmis harita kalitesi
option_screen_offset_map_off,Kapali
option_screen_offset_map_quality_description,Sabitlenmis haritalarin kailtesini belirler.~Detaylar ve güncellenme frekansi verilen degere göre artar.~Degeri 0'a getirerek oyunun bu özelligi kapamasini saglayabilirsiniz.
option_screen_animations_in_battle,Savas Animasyonlari
option_screen_animations_in_battle_no,Hayir
option_screen_animations_in_battle_attacks_off,Saldiri ani. kapat
option_screen_animations_in_battle_yes,Evet
option_screen_animations_in_battle_description,Savas sirasinda animasyonlarin gösterilip gösterilmemesini belirler.~Saldiri ani. kapat seçilirse sadece saldirilarin animasyonlari gösterilmez.
option_screen_difficulty,Zorluk derecesi
option_screen_difficulty_description,Oyunun zorluk derecesini ayarlar.
option_screen_battle_style,Savas stili
option_screen_battle_style_shift,Degisken
option_screen_battle_style_set,Sabit
option_screen_battle_style_description,Savas sirasinda rakibin Pokemonlarindan birini~yendiginizde Pokémonunuzu degistirmek~isteyip istemediginizin sorulmasi için; Degisken'i, sorulmamasi için; Sabit'i seçin.
option_screen_reset_options,Ayarlari sifirla.
option_screen_reset_options_description,Tüm ayarlari orjinal hale getirir.
option_screen_save_options,Seçenekleri kaydet.
option_screen_save_options_description,Seçenekleri kaydet ve menüyü kapat.
option_screen_close_menu,Menüuü kapat.
option_screen_close_menu_description,Seçenekleri kaydetmeden~menüyü kapat.
---
Item Detail Screen:
item_detail_screen_use,Kullan
item_detail_screen_give,Ver
item_detail_screen_trash,At
item_detail_screen_back,Geri
item_detail_screen_give_item,Esya ver
---
Apricorn Screen:
apricorn_screen_apricorns,Apricorn'lar
apricorn_screen_producing,Su anda is üzerinde çalisiyorum.~Daha sonra gel.
apricorn_screen_backadvice,GERI DÖNMEK IÇIN E'YE BAS
apricorn_screen_choose_apricorns,Lütfen Pokéball yaparken kullanmami istedigin Apricorn'lari seç.
apricorn_screen_ok,Tamam
apricorn_screen_clear,Temizle
apricorn_screen_take,Al
apricorn_screen_ready,Pokéball üretmeye hazirim. iste çalismamin ürünü:
apricorn_screen_obtain, Alindi
---
Network Screen:
network_screen_isonline,Suan zaten bir co-op Baglantiniz mevcut!~Yeni oyun açmak yada yeniden baglanmak için mevcut baglantinizi kesin!~~~GERI DÖNMEK IÇIN E'YE BASIN!
network_screen_header,Co-Op Oyun
network_screen_main_header,Yeni bir Co-OP oyun yaratabilir yada~yaratilmis bir oyuna katilabilirsin.
network_screen_main_join,Katil
network_screen_main_host,Yarat
network_screen_main_close,Kapat
network_screen_join_header,Oyuna katil:~Oyunu yaratan kisinin IP adresini girin.
network_screen_join_cancel,Iptal
network_screen_join_join,Katil
network_screen_host_header,Oyun yarat:~Agindaki diger kisilerin oyununa katilmasi için~oyun yaratmak üzeresin.
network_screen_host_cancel,Iptal
network_screen_host_host,Yarat
---
Donation screen:
donation_screen_donators,Donators
donation_screen_backadvice,Press E to close
---
Blackout Screen:
black_out_screen_line1,Tüm Pokémon'larin savasamaz durumda!
black_out_screen_line2,Suanda en yakin Pokémon merkezine
black_out_screen_line3,Pokemon'larinin daha fazla hasar 
black_out_screen_line4,almamasi için gönderilmek
black_out_screen_line5,üzeresin.
---
Badges:
badge_Boulder,Kaya
badge_Cascade,Çaglayan
badge_Thunder,Yildirim
badge_Rainbow,Gök kusagi
badge_Soul,Ruh
badge_Marsh,Bataklik
badge_Volcano,Volkan
badge_Earth,Toprak
badge_Zephyr,Rüzgar
badge_Hive,Kovan
badge_Plain,Sadelik
badge_Fog,Sis
badge_Storm,Firtina
badge_Mineral,Mineral
badge_Glacier,Buzul
badge_Rising,Dogus
---
Regions:
Johto,Johto
Kanto,Kanto
---
Places:
Places_???,???

Towns:
Places_New Bark Town,New Bark Kasabasi
Places_Cherrygrove City,Cherrygrove sehri
Places_Violet City,Violet sehri
Places_Azalea Town,Azalea Kasabasi
Places_Goldenrod City,Goldenrod sehri
Places_Ecruteak City,Ecruteak sehri
Places_Olivine City,Olivine sehri
Places_Cianwood City,Cianwood sehri
Places_Mahogany Town,Mahogany Kasabasi
Places_Blackthorn City,Blackthorn sehri
Places_Lavender Town,Lavender Kasabasi

Special Houses:
Places_Gate,Gate
Places_Pokemon Center,Pokémon Merkezi
Places_Pokemon Mart,Pokémon Marketi
Places_Elms Lab,Elm'in Laboratuvari
Places_Azalea Town Gym,Azalea Kasabasi Spor Salonu
Places_Violet City Gym,Violet Sehri Spor Salonu
Places_Your House,Senin evin
Places_Your Room,Senin odan

Dungeons:
Places_Ilex Forest,Ilex Ormani
Places_Dark Cave,Karanlik Magra
Places_Ruins of Alph,Alph Harabeleri
Places_Slowpoke Well,Slowpoke Kuyusu
Places_Sprout Tower,Filiz Kulesi
Places_Union Cave,Birlik Magrasi
Places_Mt. Mortar,Mortar Dagi
Places_Bell Tower,Çan Kulesi
Places_Burned Tower,Yanmis Kule
Places_Glitter Lighthouse,Deniz Feneri
Places_Ice Path,Buzlu Yol
Places_National Park,Ulusal Park
Places_Whirl Islands,Whirl Adalari
Places_Lake of Rage,Gazap Gölü

Routes:
Places_Route 1,Rota 1
Places_Route 2,Rota 2
Places_Route 3,Rota 3
Places_Route 4,Rota 4
Places_Route 5,Rota 5
Places_Route 6,Rota 6
Places_Route 7,Rota 7
Places_Route 8,Rota 8
Places_Route 9,Rota 9
Places_Route 10,Rota 10
Places_Route 11,Rota 11
Places_Route 12,Rota 12
Places_Route 13,Rota 13
Places_Route 14,Rota 14
Places_Route 15,Rota 15
Places_Route 16,Rota 16
Places_Route 17,Rota 17
Places_Route 18,Rota 18
Places_Route 19,Rota 19
Places_Route 20,Rota 20
Places_Route 21,Rota 21
Places_Route 22,Rota 22
Places_Route 23,Rota 23
Places_Route 24,Rota 24
Places_Route 25,Rota 25
Places_Route 26,Rota 26
Places_Route 27,Rota 27
Places_Route 28,Rota 28
Places_Route 29,Rota 29
Places_Route 30,Rota 30
Places_Route 31,Rota 31
Places_Route 32,Rota 32
Places_Route 33,Rota 33
Places_Route 34,Rota 34
Places_Route 35,Rota 35
Places_Route 36,Rota 36
Places_Route 37,Rota 37
Places_Route 38,Rota 38
Places_Route 39,Rota 39
Places_Route 40,Rota 40
Places_Route 41,Rota 41
Places_Route 42,Rota 42
Places_Route 43,Rota 43
Places_Route 44,Rota 44
Places_Route 45,Rota 45
Places_Route 46,Rota 46
---
Item categories:
item_category_Standard,Standart
item_category_Medicine,Tedavi
item_category_Machines,Mekanizmalar
item_category_Pokéballs,Pokéball'lar
item_category_Plants,Bitkiler
item_category_KeyItems,Anahtar Esyalar
---
GameMessages:
game_message_screenshot,Ekran görüntüsü kaydedildi 
game_message_screenshot_failed,Ekran görüntüsü kaydedilemedi!
game_message_fullscreen_on,Tam ekran açik
game_message_fullscreen_off,Tam ekran kapali
game_message_third_person_on,Üçüncü kisi görüsü açik.
game_message_third_person_off,Üçüncü kisi görüsü kapali.
game_message_free_camera_on,Serbest kamere açik
game_message_free_camera_off,Serbest kamera kapali
game_message_audio_on,Ses açik
game_message_audio_off,Ses kapali
---
Online:
game_message_close_connection,Co-op oyunu kapattin.
game_message_disconncet,Sunucuyla Baglantini yitirdin.
game_message_cannot_connect_client_1,Sunucuya baglanamiyor (
game_message_cannot_connect_client_2,)!
game_message_client_connect_1,Oyuna katildin (
game_message_client_connect_2,)!
game_message_client_host_closed_1,Sunucu (
game_message_client_host_closed_2,) Baglantiyi kesti.
game_message_client_outdated_newer_version,Oyunun sendeki versiyonu sunucununkinden farkli~lütfen oyunu güncelleyiniz.
game_message_host_session_started,(host) Co-Op Oyun yaratti.
game_message_host_outdated_newer_version,Oyunun versiyonu Co-Op yaratmak icin geçersiz, lütfen oyunu güncellemeyi deneyiniz!
game_message_host_client_accept,Yeni bir oyuncu katildi!
game_message_host_client_disconnect,Oyuncu baglantiyi kesti!~Co-Op oyun kapatildi.
---
General:
HP,HP
PP,PP
Lv.,Lv.
Level,Level
Attack,Saldiri
Defense,Defans
Special_Attack,Özel saldiri
Special_Defense,Özel defans
Speed,Hiz
---
Pokemon:
pokemon_name_Bulbasaur,Bulbasaur
pokemon_name_Ivysaur,Ivysaur
pokemon_name_Venusaur,Venusaur
pokemon_name_Charmander,Charmander
pokemon_name_Charmeleon,Charmeleon
pokemon_name_Charizard,Charizard
pokemon_name_Squirtle,Squirtle
pokemon_name_Wartortle,Wartortle
pokemon_name_Blastoise,Blastoise
pokemon_name_Caterpie,Caterpie
pokemon_name_Metapod,Metapod
pokemon_name_Butterfree,Butterfree
pokemon_name_Weedle,Weedle
pokemon_name_Kakuna,Kakuna
pokemon_name_Beedrill,Beedrill
pokemon_name_Pidgey,Pidgey
pokemon_name_Pidgeotto,Pidgeotto
pokemon_name_Pidgeot,Pidgeot
pokemon_name_Rattata,Rattata
pokemon_name_Raticate,Raticate
pokemon_name_Spearow,Spearow
pokemon_name_Fearow,Fearow
pokemon_name_Ekans,Ekans
pokemon_name_Arbok,Arbok
pokemon_name_Pikachu,Pikachu
pokemon_name_Raichu,Raichu
pokemon_name_Sandshrew,Sandshrew
pokemon_name_Sandshlash,Sandslash
pokemon_name_Nidoran,Nidoran
pokemon_name_Nidorina,Nidorina
pokemon_name_Nidoqueen,Nidoqueen
pokemon_name_Nidorino,Nidorino
pokemon_name_Nidoking,Nidoking
pokemon_name_Clefairy,Clefairy
pokemon_name_Clefable,Clefable
pokemon_name_Vulpix,Vulpix
pokemon_name_Ninetails,Ninetails
pokemon_name_Jigglypuff,Jigglypuff
pokemon_name_Wigglytuff,Wigglytuff
pokemon_name_Zubat,Zubat
pokemon_name_Golbat,Golbat
pokemon_name_Oddish,Oddish
pokemon_name_Gloom,Gloom
pokemon_name_Vileplume,Vileplume
pokemon_name_Paras,Paras
pokemon_name_Parasect,Parasect
pokemon_name_Venonat,Venonat
pokemon_name_Venomoth,Venomoth
pokemon_name_Diglett,Diglett
pokemon_name_Dugtrio,Dugtrio
pokemon_name_Meowth,Meowth
pokemon_name_Persian,Persian
pokemon_name_Psyduck,Psyduck
pokemon_name_Golduck,Golduck
pokemon_name_Mankey,Mankey
pokemon_name_Primeape,Primeape
pokemon_name_Growlithe,Growlithe
pokemon_name_Arcanine,Arcanine
pokemon_name_Poliwag,Poliwag
pokemon_name_Poliwhirl,Poliwhirl
pokemon_name_Poliwrath,Poliwrath
pokemon_name_Abra,Abra
pokemon_name_Kadabra,Kadabra
pokemon_name_Alakazam,Alakazam
pokemon_name_Machop,Machop
pokemon_name_Machoke,Machoke
pokemon_name_Machamp,Machamp
pokemon_name_Bellsprout,Bellsprout
pokemon_name_Weepinbell,Weepinbell
pokemon_name_Victreebel,Victreebel
pokemon_name_Tentacool,Tentacool
pokemon_name_Tentacruel,Tentacruel
pokemon_name_Geodude,Geodude
pokemon_name_Graveler,Graveler
pokemon_name_Golem,Golem
pokemon_name_Ponyta,Ponyta
pokemon_name_Rapidash,Rapidash
pokemon_name_Slowpoke,Slowpoke
pokemon_name_Slowbro,Slowbro
pokemon_name_Magnemite,Magnemite
pokemon_name_Magneton,Magneton
pokemon_name_Farfetch'd,Farfetch'd
pokemon_name_Doduo,Doduo
pokemon_name_Dodrio,Dodrio
pokemon_name_Seel,Seel
pokemon_name_Dewgong,Dewgong
pokemon_name_Grimer,Grimer
pokemon_name_Muk,Muk
pokemon_name_Shellder,Shellder
pokemon_name_Cloyster,Cloyster
pokemon_name_Gastly,Gastly
pokemon_name_Haunter,Haunter
pokemon_name_Gengar,Gengar
pokemon_name_Onix,Onix
pokemon_name_Drowzee,Drowzee
pokemon_name_Hypno,Hypno
pokemon_name_Krabby,Krabby
pokemon_name_Kingler,Kingler
pokemon_name_Voltorb,Voltorb
pokemon_name_Electrode,Electrode
pokemon_name_Exeggcute,Exeggcute
pokemon_name_Exeggutor,Exeggutor
pokemon_name_Cubone,Cubone
pokemon_name_Marowak,Marowak
pokemon_name_Hitmonlee,Hitmonlee
pokemon_name_Hitmonchan,Hitmonchan
pokemon_name_Lickitung,Lickitung
pokemon_name_Koffing,Koffing
pokemon_name_Weezing,Weezing
pokemon_name_Rhyhorn,Rhyhorn
pokemon_name_Rhydon,Rhydon
pokemon_name_Chansey,Chansey
pokemon_name_Tangela,Tangela
pokemon_name_Kangaskhan,Kangaskhan
pokemon_name_Horsea,Horsea
pokemon_name_Seedra,Seedra
pokemon_name_Goldeen,Goldeen
pokemon_name_Seaking,Seaking
pokemon_name_Staryu,Staryu
pokemon_name_Starmie,Starmie
pokemon_name_Mr. Mime,Mr. Mime
pokemon_name_Scyther,Scyther
pokemon_name_Jynx,Jynx
pokemon_name_Electabuzz,Electabuzz
pokemon_name_Magmar,Magmar
pokemon_name_Pinsir,Pinsir
pokemon_name_Tauros,Tauros
pokemon_name_Magikarp,Magikarp
pokemon_name_Gyarados,Gyarados
pokemon_name_Lapras,Lapras
pokemon_name_Ditto,Ditto
pokemon_name_Eevee,Eevee
pokemon_name_Vaporeon,Vaporeon
pokemon_name_Jolteon,Jolteon
pokemon_name_Flareon,Flareon
pokemon_name_Porygon,Porygon
pokemon_name_Omanyte,Omanyte
pokemon_name_Omastar,Omastar
pokemon_name_Kabuto,Kabuto
pokemon_name_Kabutops,Kabutops
pokemon_name_Aerodactyl,Aerodactyl
pokemon_name_Snorlax,Snorlax
pokemon_name_Articuno,Articuno
pokemon_name_Zapdos,Zapdos
pokemon_name_Moltres,Moltres
pokemon_name_Dratini,Dratini
pokemon_name_Dragonair,Dragonair
pokemon_name_Dragonite,Dragonite
pokemon_name_Mewtwo,Mewtwo
pokemon_name_Mew,Mew
pokemon_name_Chikorita,Chikorita
pokemon_name_Bayleef,Bayleef
pokemon_name_Meganium,Meganium
pokemon_name_Cyndaquil,Cyndaquil
pokemon_name_Quilava,Quilava
pokemon_name_Typhlosion,Typhlosion
pokemon_name_Totodile,Totodile
pokemon_name_Croconaw,Croconaw
pokemon_name_Feraligatr,Feraligatr
pokemon_name_Sentret,Sentret
pokemon_name_Furret,Furret
pokemon_name_Hoothoot,Hoothoot
pokemon_name_Noctowl,Noctowl
pokemon_name_Ledyba,Ledyba
pokemon_name_Ledian,Ledian
pokemon_name_Spinarak,Spinarak
pokemon_name_Ariados,Ariados
pokemon_name_Crobat,Crobat
pokemon_name_Chinchou,Chinchou
pokemon_name_Lanturn,Lanturn
pokemon_name_Pichu,Pichu
pokemon_name_Cleffa,Cleffa
pokemon_name_Igglybuff,Igglybuff
pokemon_name_Togepi,Togepi
pokemon_name_Togetic,Togetic
pokemon_name_Natu,Natu
pokemon_name_Xatu,Xatu
pokemon_name_Mareep,Mareep
pokemon_name_Flaaffy,Flaaffy
pokemon_name_Ampharos,Ampharos
pokemon_name_Bellossom,Bellossom
pokemon_name_Marill,Marill
pokemon_name_Azumarill,Azumarill
pokemon_name_Sudowoodo,Sudowoodo
pokemon_name_Politoed,Politoed
pokemon_name_Hoppip,Hoppip
pokemon_name_Skiploom,Skiploom
pokemon_name_Jumpluff,Jumpluff
pokemon_name_Aipom,Aipom
pokemon_name_Sunkern,Sunkern
pokemon_name_Sunflora,Sunflora
pokemon_name_Yanma,Yanma
pokemon_name_Wooper,Wooper
pokemon_name_Quagsire,Quagsire
pokemon_name_Espeon,Espeon
pokemon_name_Umbreon,Umbreon
pokemon_name_Murkrow,Murkrow
pokemon_name_Slowking,Slowking
pokemon_name_Misdreavus,Misdreavus
pokemon_name_Unown,Unown
pokemon_name_Wobbuffet,Wobbuffet
pokemon_name_Girafarig,Girafarig
pokemon_name_Pineco,Pineco
pokemon_name_Forretress,Forretress
pokemon_name_Dunsparce,Dunsparce
pokemon_name_Gligar,Gligar
pokemon_name_Steelix,Steelix
pokemon_name_Snubbull,Snubbull
pokemon_name_Granbull,Granbull
pokemon_name_Qwilfish,Qwilfish
pokemon_name_Scizor,Scizor
pokemon_name_Shuckle,Shuckle
pokemon_name_Heracross,Heracross
pokemon_name_Sneasel,Sneasel
pokemon_name_Teddiursa,Teddiursa
pokemon_name_Ursaring,Ursaring
pokemon_name_Slugma,Slugma
pokemon_name_Magcargo,Magcargo
pokemon_name_Swinub,Swinub
pokemon_name_Piloswine,Piloswine
pokemon_name_Corsola,Corsola
pokemon_name_Remoraid,Remoraid
pokemon_name_Octillery,Octillery
pokemon_name_Delibird,Delibird
pokemon_name_Mantine,Mantine
pokemon_name_Skarmory,Skarmory
pokemon_name_Houndour,Houndour
pokemon_name_Houndoom,Houndoom
pokemon_name_Kingdra,Kingdra
pokemon_name_Phanpy,Phanpy
pokemon_name_Donphan,Donphan
pokemon_name_Porygon2,Porygon2
pokemon_name_Stantler,Stantler
pokemon_name_Smeargle,Smeargle
pokemon_name_Tyrogue,Tyrogue
pokemon_name_Hitmontop,Hitmontop
pokemon_name_Smoochum,Smoochum
pokemon_name_Elekid,Elekid
pokemon_name_Magby,Magby
pokemon_name_Miltank,Miltank
pokemon_name_Blissey,Blissey
pokemon_name_Raikou,Raikou
pokemon_name_Entei,Entei
pokemon_name_Suicune,Suicune
pokemon_name_Larvitar,Larvitar
pokemon_name_Pupitar,Pupitar
pokemon_name_Tyranitar,Tyranitar
pokemon_name_Lugia,Lugia
pokemon_name_Ho-Oh,Ho-Oh
pokemon_name_Celebi,Celebi
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
Story translation:
---
New Bark Town:
---
barktown.dat:
---
barktown_player_house,<Player.Name>'s House
