language_name,Nederlands
battle_main_trainer_intro_2,dagen je uit~voor een gevecht!
battle_main_trainer_intro_3,daagt je uit~voor een gevecht!
battle_main_intro_1,Ga! 
battle_main_intro_2,!
battle_main_trainer_defeat_1,~is verslagen!
battle_main_trainer_defeat_2, en~
battle_main_trainer_defeat_3,~zijn verslagen!
battle_main_trainer_defeat_4, ontving
battle_main_trainer_defeat_5,~PokéDollars voor het winnen!
---
During a battle round:
--
battle_attack_poison_damage,ontving schade door de vergiftiging!
battle_attack_curse_damage,~ontving schade door de vloek!
battle_attack_fire_damage,~ontving schade door de brandwond!
battle_attack_trainer_item_1, gebruikte een~
battle_attack_trainer_item_2,!
battle_attack_asleep,is diep~in slaap.
battle_attack_woke_up, werd wakker!
battle_attack_paralyzed,is verlamd en kan niet bewegen!
battle_attack_frozen_free,is niet~langer bevroren!
battle_attack_frozen, is helemaal~bevroren!
battle_attack_flinched,aarzelde!
battle_attack_no_longer_confused,is niet~langer verward!
battle_attack_confused,is~verward!
battle_attack_hit_self_confusion,deed in~verwarring zichzelf schade!
battle_attack_no_PP_left,heeft~geen KrachtPunten over!*
battle_attack_used,gebruikte
---
Badges:
badge_Boulder,Rots
badge_Cascade,Waterval
badge_Thunder,Donder
badge_Rainbow,Regenboog
badge_Soul,Ziel
badge_Marsh,Moeras
badge_Volcano,Vulkaan
badge_Earth,Aarde
badge_Zephyr,Luchtstroom
badge_Hive,Korf
badge_Plain,Vlakte
badge_Fog,Mist
badge_Storm,Storm
badge_Mineral,Mineraal
badge_Glacier,Gletsjer
badge_Rising,Stijging
---
Regions:
Johto,Johto
Kanto,Kanto
Sevii Islands,Sevii Eilanden
---
Places:
Places_???,???

Towns:
Places_New Bark Town,Plantenstek-dorp
Places_Cherrygrove City,Kersentuin-stad
Places_Violet City,Viooltjes-stad
Places_Azalea Town,Azalea-dorp
Places_Goldenrod City,Guldenroede-stad
Places_Ecruteak City,Teakboom-stad
Places_Olivine City,Olijvenrank-stad
Places_Cianwood City,Cyaanhout-stad
Places_Mahogany Town,Mahonie-dorp
Places_Blackthorn City,Sleedoorn-stad
Places_Pallet Town,Palet-dorp
Places_Viridian City,Viridiaan-stad
Places_Saffron City,Saffraangeel-stad
Places_Pewter City,Pewter-stad
Places_Cerulean City,Hemelsblauw-stad
Places_Celadon City,Zeegroen-stad
Places_Vermilion City,Vermiljoen-stad
Places_Fuchsia City,Fuchsia-stad
Places_Cinnabar Island,Cinnaber-eiland
Places_Lavender Town,Lavendel-dorp
Places_One Island,Een-eiland
Places_Two Island,Twee-eiland
Places_Three Island,Drie-eiland
Places_Four Island,Vier-eiland
Places_Five Island,Vijf-eiland
Places_Six Island,Zes-eiland
Places_Seven Island,Zeven-eiland

Special Houses:
Places_Gate,Poort
Places_Pokemon Center,Pokémon-Centrum
Places_Pokemon Mart,Pokémon-Winkel
Places_Elms lab,Elm's Lab
Places_Oak's lab,Oak's Lab
Places_Azalea Town Gym,Gym van Azalea-dorp
Places_Violet City Gym,Gym van Viooltjes-stad
Places_Goldenrod City Gym,Gym van Guldenroede-stad
Places_Ecruteak City Gym,Gym van Teakboom-stad
Places_Cianwood City Gym,Gym van Cyaanhout-stad
Places_Olivine City Gym,Gym van Olijvenrank-stad
Places_Mahogany City Gym,Gym van Mahonie-dorp
Places_Blackthorn City Gym,Gym van Sleedoorn-stad
Places_Your House,Jouw Huis
Places_Your Room,Jouw Kamer
Places_Daycare,Dagopvang
Places_Pewter City Gym,Gym van Pewter-stad
Places_Cerulean City Gym,Gym van Hemelsblauw-stad
Places_Vermilion City Gym,Gym van Vermiljoen-stad
Places_Celadon City Gym,Gym van Zeegroen-stad
Places_Fuchsia City Gym,Gym van Fuchsia-stad
Places_Saffron City Gym,Gym van Saffraangeel-stad
Places_Cinnabar Gym,Gym van Cinnaber-eiland
Places_Viridian City Gym,Gym van Viridiaan-stad
Places_Dance Theater,Danstheater
Places_Lighthouse,Vuurtoren
Places_Team Rocket HQ,Team Rocket's Basis
Places_Radio Tower,Radiotoren
Places_Seaplane Port,Watervliegtuighaven

Dungeons:
Places_Ilex Forest,Ilexbos
Places_Dark Cave,Donkere Grot
Places_Ruins of Alph,Ruïnes van Alf
Places_Slowpoke Well,Slowpoke Waterput
Places_Sprout Tower,Kiemtoren
Places_Union Cave,Uniegrot
Places_Mt. Mortar,Mortierberg
Places_Bell Tower,Tinnen Toren
Places_Tin Tower,Tinnen Toren
Places_Tin Tower Peak,Tinnen Toren-Piek
Places_Burned Tower,Verbrande Toren
Places_Glitter Lighthouse,Glitter-vuurtoren
Places_Ice Path,Ijspad
Places_National Park,Nationaal Park
Places_Whirl Islands,Draaikolkeilanden
Places_Lake of Rage,Woedemeer
Places_Underground,Ondergronds
Places_Dragon's Den,Drakennest
Places_Tohjo Falls,Watervallen van Tohjo
Places_Victory Road,Overwinningsweg
Places_Mt. Silver,Zilverberg
Places_Diamond Dive,Diamantduik
Places_Safari Zone,Safarigebied
Places_Viridian Forest,Viridiaan-bos
Places_Cerulean Cave,Hemelsblauw-grot
Places_Power Plant,Energiecentrale
Places_Rock Tunnel,Rotstunnel
Places_Seafoam Islands,Zeeschuimeilanden
Places_Pal Park,Maatjespark
Places_Diglett's Cave,Diglett's Grot
Places_Mt. Moon,Maanberg
Places_Mt. Ember,Sintelberg
Places_Three Isle Path,Pad van Drie-eiland
Places_Berry Forest,Bessenbos
Places_Icefall Cave,Ijsvalgrot
Places_Lost Cave,Verloren Grot
Places_Trainer Tower,Trainertoren
Places_Altering Cave,Verandergrot
Places_Pattern Bush,Patroonstruik
Places_Dotted Hole,Stippelgat
Places_Tanoby Chambers,Tanoby-kamers
Places_Tanoby Key,Tanoby-sleutel
Places_Monean Chamber,Monean-kamer
Places_Liptoo Chamber,Liptoo-kamer
Places_Weepth Chamber,Weepth-kamer
Places_Dilford Chamber,Dilford-kamer
Places_Scrufib Chamber,Scrufib-kamer
Places_Rixy Chamber,Rixy-kamer
Places_Viapois Chamber,Viapois-kamer
Places_Ancient Ruins,Oude Ruïnes
Places_Millenial Star Tower,Duizendjarige Sterrentoren
Places_Kolben Tower,Kolbentoren
Places_Faraway Island,Ver-weg-eiland
Places_Underwater Cave,Onderwatergrot
Places_Embedded Tower,Ingebouwde Toren
Places_Liberty Garden,Vrijheidstuin

Routes:
Places_Route 1,Route 1
Places_Route 2,Route 2
Places_Route 3,Route 3
Places_Route 4,Route 4
Places_Route 5,Route 5
Places_Route 6,Route 6
Places_Route 7,Route 7
Places_Route 8,Route 8
Places_Route 9,Route 9
Places_Route 10,Route 10
Places_Route 11,Route 11
Places_Route 12,Route 12
