language_name,Português Brasileiro
battle_trainer_about_to_send_out_2,! Você deseja trocar de Pokémon?
battle_choose_pokemon,Escolha o Pokémon
battle_switch_already_in_battle,ja está~em batalha!
battle_switch_fainted,Desmaiou!
battle_switch_egg,Não pode trocar~por Ovo!
battle_cannot_switch,Não da pra trocar.
battle_cannot_run,Não conseguiu fugir.
battle_cannot_run_ability,Não conseguiu fugir por causa do~
---
Badges:
badge_1,Boulder
badge_2,Cascade
badge_3,Thunder
badge_4,Rainbow
badge_5,Soul
badge_6,Marsh
badge_7,Volcano
badge_8,Earth
badge_9,Zephyr
badge_10,Hive
badge_11,Plain
badge_12,Fog
badge_13,Storm
badge_14,Mineral
badge_15,Glacier
badge_16,Rising
---
Regions:
Johto,Johto
Kanto,Kanto
Sevii Islands,Ilhas Sevii 
---
Places:
Places_???,???

Towns:
Places_New Bark Town,New Bark Town
Places_Cherrygrove City,Cherrygrove City
Places_Violet City,Violet City
Places_Azalea Town,Azalea Town
Places_Goldenrod City,Goldenrod City
Places_Ecruteak City,Ecruteak City
Places_Olivine City,Olivine City
Places_Cianwood City,Cianwood City
Places_Mahogany Town,Mahogany Town
Places_Blackthorn City,Blackthorn City
Places_Pallet Town,Pallet Town
Places_Viridian City,Viridian City
Places_Saffron City,Saffron City
Places_Pewter City,Pewter City
Places_Cerulean City,Cerulean City
Places_Celadon City,Celadon City
Places_Vermilion City,Vermilion City
Places_Fuchsia City,Fuchsia City
Places_Cinnabar Island,Ilha de Cinnabar
Places_Lavender Town,Lavender Town
Places_One Island,Ilha Um
Places_Two Island,Ilha Dois
Places_Three Island,Ilha Três
Places_Four Island,Ilha Quatro
Places_Five Island,Ilha Cinco
Places_Six Island,Ilha Seis
Places_Seven Island,Ilha Sete

Special Houses:
Places_Gate,Portão
Places_Pokemon Center,Centro Pokémon
Places_Pokemon Mart,Poké Mercado
Places_Elms lab,Laboratório de Elm
Places_Oak's lab,Laboratório de Oak
Places_Azalea Town Gym,Ginásio de Azalea Town
Places_Violet City Gym,Ginásio de Violet City
Places_Goldenrod City Gym,Ginásio de Goldenrod City
Places_Ecruteak City Gym,Ginásio de Ecruteak City
Places_Cianwood City Gym,Ginásio de Cianwood City
Places_Olivine City Gym,Ginásio de Olivine City
Places_Mahogany City Gym,Ginásio de Mahogany City
Places_Blackthorn City Gym,Ginásio de Blackthorn City
Places_Your House,Sua Casa
Places_Your Room,Seu Quarto
Places_Daycare,Daycare
Places_Pewter City Gym,Ginásio de Pewter City
Places_Cerulean City Gym,Ginásio de Cerulean City
Places_Vermilion City Gym,Ginásio de Vermilion City
Places_Celadon City Gym,Ginásio de Celadon City
Places_Fuchsania City Gym,Ginásio de Fuchsania City
Places_Saffron City Gym,Ginásio de Saffron City
Places_Cinnabar Gym,Ginásio de Cinnabar
Places_Viridian City Gym,Ginásio de Viridian City
Places_Dance Theater,Teatro de Dança
Places_Lighthouse,O Farol
Places_Team Rocket HQ,Base da Equipe Rocket
Places_Radio Tower,Torre de Rádio
Places_Seaplane Port,Seaplane Porto

Dungeons:
Places_Ilex Forest,Floresta Ilex
Places_Dark Cave,Caverna Escura
Places_Ruins of Alph,Ruinas Alph
Places_Slowpoke Well,Poço Slowpoke
Places_Sprout Tower,Torre Sprout
Places_Union Cave,Caverna Union
Places_Mt. Mortar,Mt. Mortar
Places_Bell Tower,Torre Tin
Places_Tin Tower,Torre Tin
Places_Tin Tower Peak,Topo da Torre Tin
Places_Burned Tower,Torre Queimada
Places_Glitter Lighthouse,Farol Glitter
Places_Ice Path,Caminho de Gelo
Places_National Park,Parque Nacional
Places_Whirl Islands,Ilhas Redemoinho
Places_Lake of Rage,Lago da Fúria
Places_Underground,Subterrâneo
Places_Dragon's Den,Caverna do Dragão
Places_Tohjo Falls,Cascatas Tohjo
Places_Victory Road,Estrada da Vitória
Places_Mt. Silver,Mt. Silver
Places_Diamond Dive,Diamond Dive
Places_Indigo Plateau,Indigo Plateau
Places_Safari Zone,Zona de Safari
Places_Viridian Forest,Floresta Viridian
Places_Cerulean Cave,Caverna Cerulean
Places_Power Plant,Usina Elétrica
Places_Rock Tunnel,Túnel de Pedra
Places_Seafoam Islands,Ilhas Seafoam
Places_Pal Park,Parque Pal
Places_Diglett's Cave,Caverna Diglett
Places_Mt. Moon,Mt. Moon
Places_Mt. Ember,Mt. Ember
Places_Three Isle Path,Caminho Three Isle
Places_Berry Forest,Floresta de Berries
Places_Icefall Cave,Caverna Icefall
Places_Lost Cave,Caverna Perdida
Places_Trainer Tower,Torre dos Treinadores
Places_Altering Cave,Caverna Alterando
Places_Pattern Bush,Arbusto Padrão
Places_Dotted Hole,Buraco
Places_Tanoby Chambers,Câmaras Tanoby
Places_Tanoby Key,Chave Tanoby
Places_Monean Chamber,Câmaras Monean
Places_Liptoo Chamber,Câmaras Liptoo
Places_Weepth Chamber,Câmaras Weepth
Places_Dilford Chamber,Câmaras Dilford
Places_Scrufib Chamber,Câmaras Scrufib
Places_Rixy Chamber,Câmaras Rixy
Places_Viapois Chamber,Câmaras Viapois
Places_Ancient Ruins,Ruínas Ancestrais
Places_Millennial Star Tower,Torre Estrela Milenar
Places_Kolben Tower,Torre Kolben
Places_Faraway Island,Ilhas Distantes
Places_Underwater Cave,Caverna Subaquática
Places_Embedded Tower,Torre Embedded
Places_Liberty Garden,Liberty Garden

Routes:
Places_Route 1,Rota 1
Places_Route 2,Rota 2
Places_Route 3,Rota 3
Places_Route 4,Rota 4
Places_Route 5,Rota 5
Places_Route 6,Rota 6
Places_Route 7,Rota 7
Places_Route 8,Rota 8
Places_Route 9,Rota 9
Places_Route 10,Rota 10
Places_Route 11,Rota 11
Places_Route 12,Rota 12
Places_Route 13,Rota 13
Places_Route 14,Rota 14
Places_Route 15,Rota 15
Places_Route 16,Rota 16
Places_Route 17,Rota 17
Places_Route 18,Rota 18
Places_Route 19,Rota 19
Places_Route 20,Rota 20
Places_Route 21,Rota 21
Places_Route 22,Rota 22
Places_Route 23,Rota 23
Places_Route 24,Rota 24
Places_Route 25,Rota 25
Places_Route 26,Rota 26
Places_Route 27,Rota 27
Places_Route 28,Rota 28
Places_Route 29,Rota 29
Places_Route 30,Rota 30
Places_Route 31,Rota 31
Places_Route 32,Rota 32
Places_Route 33,Rota 33
Places_Route 34,Rota 34
Places_Route 35,Rota 35
Places_Route 36,Rota 36
Places_Route 37,Rota 37
Places_Route 38,Rota 38
Places_Route 39,Rota 39
Places_Route 40,Rota 40
Places_Route 41,Rota 41
Places_Route 42,Rota 42
Places_Route 43,Rota 43
Places_Route 44,Rota 44
Places_Route 45,Rota 45
Places_Route 46,Rota 46
Places_Route 47,Rota 47
