language_name,Français
battle_action_MegaEvolve,Mega Evolve!
---
Badges:
badge_1,Roche
badge_2,Cascade
badge_3,Foudre
badge_4,Prisme
badge_5,âme
badge_6,Marais
badge_7,Volcan
badge_8,Terre
badge_9,Zéphyr
badge_10,Essaim
badge_11,Plaine
badge_12,Brume
badge_13,Choc
badge_14,Minérale
badge_15,Glacier
badge_16,Lever
---
Regions:
Johto,Johto
Kanto,Kanto
Sevii Islands,Iles Sevii
---
Places:
Places_???,???

Towns:
Places_New Bark Town,Bourg Geon
Places_Cherrygrove City,Ville Griotte
Places_Violet City,Mauville
Places_Azalea Town,Ecorcia
Places_Goldenrod City,Doublonville
Places_Ecruteak City,Rosalia
Places_Olivine City,Oliville
Places_Cianwood City,Irisia
Places_Mahogany Town,Acajou
Places_Blackthorn City,Ébènelle
Places_Pallet Town,Bourg Palette
Places_Viridian City,Jadielle
Places_Saffron City,Safrania
Places_Pewter City,Argenta
Places_Cerulean City,Azuria
Places_Celadon City,Céladopole
Places_Vermilion City,Carmin sur Mer
Places_Fuchsia City,Parmanie
Places_Cinnabar Island,Cramois'île
Places_Lavender Town,Lavandia
Places_One Island,1er Ile
Places_Two Island,2eme Ile
Places_Three Island,3eme Ile
Places_Four Island,4eme Ile
Places_Five Island,5eme Ile
Places_Six Island,6eme Ile
Places_Seven Island,7eme Ile

Special Houses:
Places_Gate,Porte
Places_Pokemon Center,Centre Pokémon
Places_Pokemon Mart,Magasin Pokémon
Places_Elms Lab,Labo du Prof.Orme
Places_Oak's lab,Labo du Prof.Chen
Places_Azalea Town Gym,Arène d'Ecorcia
Places_Violet City Gym,Arène de Mauville
Places_Goldenrod City Gym,Arène de Doublonville
Places_Ecruteak City Gym,Arène de Rosalia
Places_Cianwood City Gym,Arène d'Irisia
Places_Olivine City Gym,Arène d'Oliville
Places_Mahogany City Gym,Arène d'Acajou
Places_Blackthorn City Gym,Arène d'Ébènelle
Places_Your House,Ta maison
Places_Your Room,Ta chambre
Places_Daycare,Daycare
Places_Pewter City Gym,Arène d'Argenta
Places_Cerulean City Gym,Arène d'Azuria
Places_Vermilion City Gym,Arène de Carmin sur Mer
Places_Celadon City Gym,Arène de Céladopole
Places_Fuchsania City Gym,Arène de Parmanie
Places_Saffron City Gym,Arène de Safrania
Places_Cinnabar Gym,Arène de Cramois'île
Places_Viridian City Gym,Arène de Jadielle
Places_Dance Theater,Salle de danse
Places_Lighthouse,Phare
Places_Team Rocket HQ,Repaire Rocket
Places_Radio Tower,Tour Radio
Places_Seaplane Port,Seaplane Port

Dungeons:
Places_Ilex Forest,Bois aux chênes
Places_Dark Cave,Antre noir
Places_Ruins of Alph,Ruines Alpha
Places_Slowpoke Well,Puit Ramoloss
Places_Sprout Tower,Tour chétiflor
Places_Union Cave,Cave Jumelle
Places_Mt. Mortar,Mont Creuset
Places_Bell Tower,Tour Carillon
Places_Tin Tower,Tour Ferraille
Places_Tin Tower Peak,Sommet Tour Ferraille
Places_Burned Tower,Tour Cendrée
Places_Glitter Lighthouse,Phare
Places_Ice Path,Route de glace
Places_National Park,Parc naturel
Places_Whirl Islands,Tourb'Îles
Places_Lake of Rage,Lac Colère
Places_Underground,Underground
Places_Dragon's Den,Antre du Dragon
Places_Tohjo Falls,Tohjo Falls
Places_Victory Road,Route Victoire
Places_Mt. Silver,Mt. Silver
Places_Diamond Dive,Diamond Dive
Places_Indigo Plateau,Indigo Plateau
Places_Safari Zone,Parc Safari
Places_Viridian Forest,Viridian Forest
Places_Cerulean Cave,Cerulean Cave
Places_Power Plant,Power Plant
Places_Rock Tunnel,Rock Tunnel
Places_Seafoam Islands,Seafoam Islands
Places_Pal Park,Pal Park
Places_Diglett's Cave,Cave Taupiqueur
Places_Mt. Moon,Mt. Moon
Places_Mt. Ember,Mt. Ember
Places_Three Isle Path,Three Isle Path
Places_Berry Forest,Berry Forest
Places_Icefall Cave,Icefall Cave
Places_Lost Cave,Lost Cave
Places_Trainer Tower,Trainer Tower
Places_Altering Cave,Altering Cave
Places_Pattern Bush,Pattern Bush
Places_Dotted Hole,Dotted Hole
Places_Tanoby Chambers,Tanoby Chambers
Places_Tanoby Key,Tanoby Key
Places_Monean Chamber,Monean Chamber
Places_Liptoo Chamber,Liptoo Chamber
Places_Weepth Chamber,Weepth Chamber
Places_Dilford Chamber,Dilford Chamber
Places_Scrufib Chamber,Scrufib Chamber
Places_Rixy Chamber,Rixy Chamber
Places_Viapois Chamber,Viapois Chamber
Places_Ancient Ruins,Ancient Ruins
Places_Millenial Star Tower,Millennial Star Tower
Places_Kolben Tower,Kolben Tower
Places_Faraway Island,Faraway Island
Places_Underwater Cave,Underwater Cave
Places_Embedded Tower,Embedded Tower
Places_Liberty Garden,Liberty Garden

Routes:
Places_Route 1,Route 1
Places_Route 2,Route 2
Places_Route 3,Route 3
Places_Route 4,Route 4
Places_Route 5,Route 5
Places_Route 6,Route 6
Places_Route 7,Route 7
Places_Route 8,Route 8
Places_Route 9,Route 9
Places_Route 10,Route 10
Places_Route 11,Route 11
Places_Route 12,Route 12
Places_Route 13,Route 13
Places_Route 14,Route 14
Places_Route 15,Route 15
Places_Route 16,Route 16
Places_Route 17,Route 17
Places_Route 18,Route 18
Places_Route 19,Route 19
Places_Route 20,Route 20
Places_Route 21,Route 21
Places_Route 22,Route 22
Places_Route 23,Route 23
Places_Route 24,Route 24
Places_Route 25,Route 25
Places_Route 26,Route 26
Places_Route 27,Route 27
Places_Route 28,Route 28
Places_Route 29,Route 29
Places_Route 30,Route 30
Places_Route 31,Route 31
Places_Route 32,Route 32
Places_Route 33,Route 33
Places_Route 34,Route 34
Places_Route 35,Route 35
Places_Route 36,Route 36
Places_Route 37,Route 37
Places_Route 38,Route 38
Places_Route 39,Route 39
Places_Route 40,Route 40
Places_Route 41,Route 41
Places_Route 42,Route 42
Places_Route 43,Route 43
Places_Route 44,Route 44
Places_Route 45,Route 45
Places_Route 46,Route 46
Places_Route 47,Route 47
Places_Route 48,Route 48
Places_Route 49,Route 49
Places_Route 50,Route 50

Places_Treasure Beach,Treasure Beach
Places_Kindle Road,Kindle Road
Places_Cape Brink,Cape Brink
Places_Three Isle Port,Three Isle Port
Places_Bond Bridge,Bond Bridge
Places_Five Isle Meadow,Five Isle Meadow
Places_Memorial Pillar,Memorial Pillar
Places_Water Labyrinth,Water Labyrinth
Places_Resort Gorgeous,Resort Gorgeous
Places_Water Path,Water Path
Places_Green Path,Green Path
Places_Outcast Island,Outcast Island
Places_Ruin Valley,Ruin Valley
Places_Tower Straits,Tower Straits
Places_Canyon Entrance,Canyon Entrance
