language_name,Deutsch
apricorn_screen_apricorns,Aprikokos
apricorn_screen_producing,Ich verarbeite die Aprikokos gerade.~Komm doch später wieder.
apricorn_screen_backadvice,[<system.button(OpenMenu)>]: Zurück
apricorn_screen_choose_apricorns,Bitte wähle Aprikokos aus, um Pokébälle herzustellen:
apricorn_screen_ok,OK
apricorn_screen_clear,Leeren
apricorn_screen_all,Alle
apricorn_screen_take,Nehmen
apricorn_screen_ready,Ich habe die Pokébälle produziert. Hier ist das Ergebnis:
apricorn_screen_obtain,erhält
---
Donation screen:
donation_screen_donators,Spender
donation_screen_backadvice,[<system.button(OpenMenu)>]: Zurück
---
Rename Screen:
rename_screen_title_Question,Rename [NAME]?
rename_screen_title_EnterName,Enter name for [NAME]:
rename_screen_button_Rename,Rename
---
Input Screen:
input_screen_button_Shift,Shift
input_screen_button_Default,Default
input_screen_button_CharactersLeft,Chars left:
---
Shop Screen:
shop_screen_title_store,Store
shop_screen_title_BuyItems,Buy Items
shop_screen_title_BuyCategory,Buy [CATEGORY]
shop_screen_title_SellItems,Sell Items
shop_screen_title_SellCategory,Sell [CATEGORY]
shop_screen_button_buy,Buy
shop_screen_button_sell,Sell
shop_screen_button_exit,Exit
shop_screen_buy_NoItemsToBuy,There are no items to buy.
shop_screen_buy_InStock,In Stock:
shop_screen_sell_NoItemsToSell,You have no items to sell.
shop_screen_sell_confirmation,Do you want to sell~[AMOUNT] [ITEM]?
shop_screen_buysell_PricePerItem,Per Item:
shop_screen_buysell_PriceTotal,Total:
shop_screen_buysell_InInventory,In Inventory:
shop_screen_buysell_DescriptionHint,Press [<system.button(special)>] or Select to view the item's description.
shop_screen_buysell_CurrentBalance,Current Balance:
shop_screen_currency_BattlePoints,Battle Points
shop_screen_currency_Coins,Coins
shop_screen_currency_Pokédollars,$
shop_screen_currency_short_BattlePoints,BP
shop_screen_currency_short_Coins,C
shop_screen_currency_short_Pokédollars,$
---
Blackout Screen:
black_out_screen_line1,You have run out of Pokémon!
black_out_screen_line2,You will be brought
black_out_screen_line3,to the nearest PokéCenter
black_out_screen_line4,to prevent further injury
black_out_screen_line5,to your Pokémon.
---
Hall of Fame Screen:
hall_of_fame_screen_title,Hall of Fame
hall_of_fame_screen_entry_number,Entry No.
hall_of_fame_screen_entries,Entries:
hall_of_fame_screen_type1,Type 1
hall_of_fame_screen_type2,Type 2
---
Credits Screen:
credits_skip,Press [<system.button(enter1)>] to skip to the end.
credits_continue,Drücken Sie [<system.button(enter1)>] um fortzufahren.
---
Voltorb Flip:
VoltorbFlip_LV.,LV.
VoltorbFlip_CurrentCoins_Line1,Coins found
VoltorbFlip_CurrentCoins_Line2,in this LV.
VoltorbFlip_TotalCoins_Line1,<Player.Name>'s
VoltorbFlip_TotalCoins_Line2,earned Coins

VoltorbFlip_MemoButton_Open_Line1,Open
VoltorbFlip_MemoButton_Open_Line2,Memos
VoltorbFlip_MemoButton_Close_Line1,Close
VoltorbFlip_MemoButton_Close_Line2,Memos

VoltorbFlip_QuitButton,Quit

VoltorbFlip_QuitQuestion_Question_1,If you quit now, you will~receive
VoltorbFlip_QuitQuestion_Question_2,Coin(s).*Will you quit?

VoltorbFlip_BeforeNewLevel_Main_Question_1,Play Voltorb Flip Lv.
VoltorbFlip_BeforeNewLevel_Main_Question_2,?
VoltorbFlip_BeforeNewLevel_Main_Answer_Play,Play
VoltorbFlip_BeforeNewLevel_Main_Answer_GameInfo,Game Info
VoltorbFlip_BeforeNewLevel_Main_Answer_Quit,Quit
VoltorbFlip_BeforeNewLevel_GameInfo_Question,Which set of info?
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_HowToPlay,How to Play
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_Hint,Hint!
VoltorbFlip_BeforeNewLevel_GameInfo_Answer_AboutMemos,About Memos
VoltorbFlip_BeforeNewLevel_GameInfo_Back,Back

VoltorbFlip_GameWon_1,Game clear!~You've found all of the~hidden x2 and x3 cards.*<Player.Name> received~
VoltorbFlip_GameWon_2,Coin(s)!

VoltorbFlip_GameLost,Oh no! You get 0 Coins!

VoltorbFlip_MaxCoins,Your Coin Case can't fit~any more Coin(s)!

VoltorbFlip_NewLevel_Lower1,Dropped to Game Lv.
VoltorbFlip_NewLevel_Lower2,!
VoltorbFlip_NewLevel_Higher1,Advanced to Game Lv.
VoltorbFlip_NewLevel_Higher2,!
VoltorbFlip_NewLevel_Ready1,Ready to play Game Lv.
VoltorbFlip_NewLevel_Ready2,!

VoltorbFlip_QuitGame_1,<Player.Name> received~
VoltorbFlip_QuitGame_2,Coin(s)!

VoltorbFlip_AfterGame_Won1,You've won
VoltorbFlip_AfterGame_Won2,Coin(s)!
VoltorbFlip_AfterGame_Lost,Too bad, you didn't win~any Coins!*Better luck next time!

VoltorbFlip_BeforeGame_NoCoinCase,You don't have a Coin Case!~Come back when you have one!

VoltorbFlip_Tutorial_HowToPlay_Message,Voltorb Flip is a game in which~you flip over cards to find~numbers hidden beneath them.*The cards are hiding the~numbers 1 through 3...~and Voltorb as well.*The first number you flip over~will give you that many Coins.*From then on, the next number~you find will multiply the~total amount of Coins you've~collected by that number.*If it's a 2, your total will~be multiplied by "x2".*If it's a 3, your total will~be multiplied by "x3".*But if you flip over a~Voltorb, it's game over.*When that happens, you'll lose~all the Coins you've collected~in the current level.*If you select "Quit", you'll~withdraw from the level.*If you get to a difficult~spot, you might want to end~the game early.*Once you've found all the~hidden 2 and 3 cards,~you've cleared the game.*Once you've flipped over~all these cards, then you'll~advance to the next level.*As you move up in levels,~you will be able to receive~more Coins. Do your best!
VoltorbFlip_Tutorial_Hint_Message,The numbers at the side~of the board give you a clue~about the numbers hidden on~the backs of the cards.*The larger the number, the~more likely it is that there~are many large numbers hidden~in that row or column.*In the same way, you can tell~how many Voltorb are hidden~in the row or column.*Consider the hidden number~totals and the Voltorb~totals carefully as you~flip over cards.
VoltorbFlip_Tutorial_AboutMemos_Message,Select "Open Memo" or press~[<system.button(run)>] to open the~Memo Window.*You can mark the cards with~the numbers 1 through 3,~but also with a Voltorb mark.*When you have an idea of the~numbers hidden on the back~of the cards, open the Memo~Window, choose the type of~mark you want to use with~the Mouse Wheel or the~Gamepad's Shoulder Buttons~and then press [<system.button(enter1)>]~while highlighting the card~you want to mark.*If you want to remove a mark,~choose the type of mark you~want to remove with the~Mouse Wheel or the Gamepad's~Shoulder Buttons and then~press [<system.button(back1)>] while~highlighting the card you want~to remove the mark from.*You can also use the~mouse to select a~mark type or a card.
