language_name,Norsk
poke_status_screen_closeadvice,TRYKK E FOR Å LUKKE
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,All Exp
poke_status_screen_nxt_lv,Neste Lv.
poke_status_screen_stats_page,Statistikk side
Page 2:
poke_status_screen_OT,OT
poke_status_screen_Item,Objekt
poke_status_screen_no_item,Ingen objekter
poke_status_screen_ability,Evne
poke_status_screen_details_page,Detaljer side
Page 3:
poke_status_screen_power,Styrke
poke_status_screen_accuracy,Nøyaktighet
poke_status_screen_moves_page,Angrep side
---
Trainer Card Screen:
trainer_screen_trainer_card,Trener Kort
trainer_screen_name,Navn
trainer_screen_points,Poeng
trainer_screen_money,Penger
trainer_screen_pokedex,Pokédex
trainer_screen_time,Tid
trainer_screen_collected_badges,Samlede merker
trainer_screen_badge, Merke
trainer_screen_backadvice,TRYKK E FOR Å GÅ TILBAKE
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,Vil du lagre spillet?
save_screen_name,Navn
save_screen_badges,Merker
save_screen_money,Penger
save_screen_time,Tid
save_screen_yes,Ja
save_screen_no,Nei
save_screen_success,Lagret spillet.
---
Options Screen:
option_screen_title,Alternativer
option_screen_warning,Alternativene er ikke lagret ennå, rull ned og velg "Lagre alternativer".
option_screen_backadvice,TRYKK E FOR Å GÅ TILBAKE
option_screen_description,Beskrivelse
option_screen_textspeed,Teksthastighet
option_screen_textspeed_description,Hastigheten tekstboksen vises og~viser teksten
option_screen_fov,FOV
option_screen_fov_description,Visningsfeltet. Jo høyere verdien er,~desto mer kan du se.~Advarsel: For stor verdi kan forårsake hakking i større kart.
option_screen_mousespeed,Mushastighet
option_screen_mousespeed_description,Mousespeed setter hastigheten som~musen kan rotere visningen.
option_screen_volume,Volum
option_screen_volume_description,Volumet av bakgrunnsmusikken.~Denne innstillingen gjelder for alle lagrede spill.
option_screen_render_distance,RenderDistance
option_screen_render_distance_tiny,Liten
option_screen_render_distance_short,Kort
option_screen_render_distance_normal,Normal
option_screen_render_distance_far,Lang
option_screen_render_distance_extreme,Ekstrem
option_screen_render_distance_description,RenderDistance bestemmer,~hvor langt du kan se.~Ved å skru ned dette, kan du forbedre FPS.
option_screen_graphics,Grafikk
option_screen_graphics_fancy,Fin
option_screen_graphics_fast,Kjapp
option_screen_graphics_description,Effekter av noen objekter blir gjengitt~eller ikke. Ved å skru ned dette, kan du forbedre FPS.~Denne innstillingen gjelder for alle lagrede spill.
option_screen_offset_map_quality,Offset kartet kvalitet
option_screen_offset_map_off,Av
option_screen_offset_map_quality_description,Angir kvaliteten på kompensasjonskartene.~Detaljer og oppdateringsfrekvens for kompenserte kart øker med denne verdien.~Angi denne verdien til 0 for å forhindre at spillet laster inn kompensasjonskart.
option_screen_animations_in_battle,Animasjoner i kamp
option_screen_animations_in_battle_no,Nei
option_screen_animations_in_battle_attacks_off,Angrep av
option_screen_animations_in_battle_yes,Ja
option_screen_animations_in_battle_description,Bestemmer om spillet viser kampanimasjoner.
option_screen_difficulty,Vanskelighetsgrad
option_screen_difficulty_description,Vanskelighetsgrad modus~Setter vanskelighetsgrad.
option_screen_battle_style,Kampstil
option_screen_battle_style_shift,Shift
option_screen_battle_style_set,Set
option_screen_battle_style_description,Kampstil~Set: Du blir ikke bedt om å bytte ut Pokémon~Shift: Du kan slå ut Pokémonen din etter å ha beseiret en motstander.
option_screen_view_bobbing,Se bevegelse
option_screen_view_bobbing_description,Slår kamera risting på eller av.
option_screen_reset_options,Tilbakestill alternativer.
option_screen_reset_options_description,Tilbakestill alle alternativer.
option_screen_save_options,Lagre alternativer.
option_screen_save_options_description,Lagre alternativene og lukk menyen.
option_screen_close_menu,Lukk menyen.
option_screen_close_menu_description,Lukk menyen og ikke lagre~endringene.
---
Item Detail Screen:
item_detail_screen_use,Bruk
item_detail_screen_give,Gi
item_detail_screen_trash,Kast
item_detail_screen_back,Tilbake
item_detail_screen_give_item,Gi 
---
Apricorn Screen:
apricorn_screen_apricorns,Apricorns
apricorn_screen_producing,Jeg produserer Pokéballene for øyeblikket.~Kom tilbake senere.
apricorn_screen_backadvice,TRYKK E FOR Å GÅ TILBAKE
apricorn_screen_choose_apricorns,Vennligst velg Apricorn jeg skal bruke for å produsere Pokéballer.
apricorn_screen_ok,OK
apricorn_screen_clear,Tøm
apricorn_screen_take,Ta
apricorn_screen_ready,Jeg er klar til å produsere Pokéballer. Her er resultatet av mitt arbeid:
apricorn_screen_obtain, motatt
---
Daycare Screen:
daycare_screen_daycare,Barnehage
daycare_screen_money, / Penger: 
daycare_screen_deposit,Innskudd
daycare_screen_grown,Vokst: 
daycare_screen_lv, / Lv. 
daycare_screen_costs, / Koster:
daycare_screen_pokedollar, PokéDollar
daycare_screen_withdraw,Ta ut
daycare_screen_backadvice,TRYKK E FOR Å GÅ TILBAKE
daycare_screen_pokemon_choose_header,Sett inn Pokémon
Egg,Egg
---
Network Screen:
network_screen_isonline,Du er allerede i et co-op spill! Vennligst lukk forbindelsen~for å åpne et nytt spill eller koble igjen!~~~Trykk E for å gå tilbake!
network_screen_header,Co-Op Spilling
network_screen_main_header,Du kan enten delta i et spill eller være vert~for et nytt spill for å spille sammen med en venn.
network_screen_main_join,Bli med
network_screen_main_host,Sett opp
network_screen_main_close,Lukk
network_screen_join_header,Bli med i et spill:~Oppgi IP-adressen til det verten sitt spill.
network_screen_join_cancel,Avbryt
network_screen_join_join,Bli med
network_screen_host_header,Vert for et spill:~Du er i ferd med å åpne spillet ditt for andre spillere i nettverket ditt.
network_screen_host_cancel,Avbryt
network_screen_host_host,Sett opp
---
Donation screen:
donation_screen_donators,Donasjoner
donation_screen_backadvice,Trykk E for å gå tilbake
---
Blackout Screen:
black_out_screen_line1,Du har gått tom for Pokémon!
black_out_screen_line2,Du vil bli brakt
black_out_screen_line3,til nærmeste PokéCenter
black_out_screen_line4,for å hindre ytterligere skade
black_out_screen_line5,til dine Pokémon.
---
Battle:
---
main:
battle_main_trainer_sent_out_1, sendte ut~
battle_main_trainer_sent_out_2,.
battle_main_trainer_sent_out_3, holder på~å sende ut~
battle_main_trainer_sent_out_4,!~Vil du bytte~din Pokémon?
battle_main_trainer_sent_out_5,Ja
battle_main_trainer_sent_out_6,Nei
battle_main_choose_pokemon,Velg Pokémon
battle_main_wild_appear_1,En vill 
battle_main_wild_appear_2,~dukket opp!
battle_main_trainer_intro_1, og~
battle_main_trainer_intro_2, ønsker~å kjempe!
battle_main_trainer_intro_3, ønsker~å kjempe!
battle_main_intro_1,GÅ! 
battle_main_intro_2,!
battle_main_trainer_defeat_1,~ble beseiret!
battle_main_trainer_defeat_2, og~
battle_main_trainer_defeat_3,~ble beseiret!
battle_main_trainer_defeat_4, fikk 
battle_main_trainer_defeat_5,~PokéDollars for å vinne!
---
attackTurn:
battle_attack_poison_damage,~ble skadet av gift!
battle_attack_curse_damage,~er plaget av forbannelsen!
battle_attack_fire_damage,~ble skadet av flammene!
battle_attack_trainer_item_1, brukte en~
battle_attack_trainer_item_2,!
battle_attack_asleep, sovnet~fort.
battle_attack_woke_up, våknet opp!
battle_attack_paralyzed, er lammet!~Og kan ikke bevege seg!
battle_attack_frozen_free, er ikke~lenger frosset!
battle_attack_frozen, er frosset~fast!
battle_attack_flinched, rykket til!
battle_attack_no_longer_confused, er ikke~lenger forvirret!
battle_attack_confused, er~forvirret.
battle_attack_hit_self_confusion, slår seg~i forvirring!
battle_attack_no_PP_left, har~ingen PP igjen!*
battle_attack_used, brukte 
---
Badges:
badge_Boulder,Kampestein
badge_Cascade,Kaskade
badge_Thunder,Torden
badge_Rainbow,Reinbue
badge_Soul,Sjel
badge_Marsh,Myr
badge_Volcano,Vulkan
badge_Earth,Jord
badge_Zephyr,Zephyr
badge_Hive,Bikube
badge_Plain,Vanlig
badge_Fog,Tåke
badge_Storm,Storm
badge_Mineral,Mineral
badge_Glacier,Isbre
badge_Rising,Stigende
---
Regions:
Johto,Johto
Kanto,Kanto
Sevii Islands,Sevii Øyene
---
Places:
Places_???,???

Towns:
Places_New Bark Town,Ny Bark Landsby
Places_Cherrygrove City,Kirsebær Lund Byen
Places_Violet City,Fiolett Byen
Places_Azalea Town,Asalea Landsby
Places_Goldenrod City,Oker Byen
Places_Ecruteak City,Ecruteak By
Places_Olivine City,Olivin By
Places_Cianwood City,Cianwood By
Places_Mahogany Town,Mahogni Landsby
Places_Blackthorn City,Slåpetorn By
Places_Pallet Town,Pall Landsby
Places_Viridian City,Viridian By
Places_Saffron City,Safran Byen
Places_Pewter City,Tinn Byen
Places_Cerulean City,Dypblå Byen
Places_Celadon City,Celadon By
Places_Vermilion City,Vermilion By
Places_Fuchsia City,Fuksia By
Places_Cinnabar Island,Sinober Øyen
Places_Lavender Town,Lavendel Landsbyen
Places_One Island,En Øy
Places_Two Island,To Øy
Places_Three Island,Tre Øy
Places_Four Island,Fire Øy
Places_Five Island,Fem Øy
Places_Six Island,Seks Øy
Places_Seven Island,Syv Øy

Special Houses:
Places_Gate,Gate
Places_Pokemon Center,Pokémon Senter
Places_Pokemon Mart,Pokémon Marked
Places_Elms lab,Elm sitt laboratorium
Places_Oak's lab,Oak sitt laboratorium
Places_Azalea Town Gym,Asalea Landsby Gym
Places_Violet City Gym,Fiolett By Gym
Places_Goldenrod City Gym,Oker By Gym
Places_Ecruteak City Gym,Ecruteak By Gym
Places_Cianwood City Gym,Cianwood By Gym
Places_Olivine City Gym,Olivin By Gym
Places_Mahogany City Gym,Mahogni By Gym
Places_Blackthorn City Gym,Slåpetorn By Gym
Places_Your House,Ditt Hus
Places_Your Room,Ditt Rom
Places_Daycare,Barnehage
Places_Pewter City Gym,Tinn Byen Gym
Places_Cerulean City Gym,Dypblå Byen Gym
Places_Vermilion City Gym,Vermilion By Gym
Places_Celadon City Gym,Celadon By Gym
Places_Fuchsania City Gym,Fuksia By Gym
Places_Saffron City Gym,Safran Byen Gym
Places_Cinnabar Gym,Sinober Gym
Places_Viridian City Gym,Viridian By Gym
Places_Dance Theater,Danseteater
Places_Lighthouse,Fyrtårn
Places_Team Rocket HQ,Team Rocket Hovedkvarter
Places_Radio Tower,Radio Tårn

Dungeons:
Places_Ilex Forest,Ilex skogen
Places_Dark Cave,Mørk Hule
Places_Ruins of Alph,Ruinene av Alph
Places_Slowpoke Well,Slowpoke Brønn
Places_Sprout Tower,Sprout Tårn
Places_Union Cave,Union Hule
Places_Mt. Mortar,Mt. Mørtel
Places_Bell Tower,Tin Tårn
Places_Tin Tower,Tin Tårn
Places_Tin Tower Peak,Tin Tårntopp
Places_Burned Tower,Brent Tårn
Places_Glitter Lighthouse,Glitter Fyrtårn
Places_Ice Path,Is Sti
Places_National Park,Nasjonalpark
Places_Whirl Islands,Virvel øyene
Places_Lake of Rage,Rasende innsjø
Places_Underground,Undergrunnen
Places_Dragon's Den,Dragens hule
Places_Tohjo Falls,Tohjo fossen
Places_Victory Road,Seiersveien
Places_Mt. Silver,Mt. Sølv
Places_Indigo Plateau,Indigo platå
Places_Safari Zone,Safari sone
Places_Viridian Forest,Viridian skogen
Places_Cerulean Cave,Cerulean hule
Places_Power Plant,Kraftverk
Places_Rock Tunnel,Bergtunnel
Places_Seafoam Islands,Sjøskum øyene
Places_Pal Park,Kompis parken
Places_Diglett's Cave,Digletts hule
Places_Mt. Moon,Mt. Måne
Places_Mt. Ember,Mt. Glo
Places_Three Isle Path,Tre øyer stien
Places_Berry Forest,Bærskog
Places_Icefall Cave,Isfallhule
Places_Lost Cave,Mistet hule
Places_Trainer Tower,Trenertårn
Places_Altering Cave,Forandrende grotte
Places_Pattern Bush,Mønsterbusk
Places_Dotted Hole,Prikkete hull
Places_Tanoby Chambers,Tanoby kamre
Places_Tanoby Key,Tanoby Key
Places_Monean Chamber,Monean kamre
Places_Liptoo Chamber,Liptoo kamre
Places_Weepth Chamber,Weepth kamre
Places_Dilford Chamber,Dilford kamre
Places_Scrufib Chamber,Scrufib kamre
Places_Rixy Chamber,Rixy kamre
Places_Viapois Chamber,Viapois kamre
Places_Ancient Ruins,Gamle ruiner
Places_Millenial Star Tower,Tusenårsstjernetårnet
Places_Kolben Tower,Kolben tårnet
Places_Faraway Island,Fjerne øyen
Places_Underwater Cave,Undervannshulen
Places_Embedded Tower,Innebygd tårn

Routes:
Places_Route 1,Rute 1
Places_Route 2,Rute 2
Places_Route 3,Rute 3
Places_Route 4,Rute 4
Places_Route 5,Rute 5
Places_Route 6,Rute 6
Places_Route 7,Rute 7
Places_Route 8,Rute 8
Places_Route 9,Rute 9
Places_Route 10,Rute 10
Places_Route 11,Rute 11
Places_Route 12,Rute 12
Places_Route 13,Rute 13
Places_Route 14,Rute 14
Places_Route 15,Rute 15
Places_Route 16,Rute 16
Places_Route 17,Rute 17
Places_Route 18,Rute 18
Places_Route 19,Rute 19
Places_Route 20,Rute 20
Places_Route 21,Rute 21
Places_Route 22,Rute 22
Places_Route 23,Rute 23
Places_Route 24,Rute 24
Places_Route 25,Rute 25
Places_Route 26,Rute 26
Places_Route 27,Rute 27
Places_Route 28,Rute 28
Places_Route 29,Rute 29
Places_Route 30,Rute 30
Places_Route 31,Rute 31
Places_Route 32,Rute 32
Places_Route 33,Rute 33
Places_Route 34,Rute 34
Places_Route 35,Rute 35
Places_Route 36,Rute 36
Places_Route 37,Rute 37
Places_Route 38,Rute 38
Places_Route 39,Rute 39
Places_Route 40,Rute 40
Places_Route 41,Rute 41
Places_Route 42,Rute 42
Places_Route 43,Rute 43
Places_Route 44,Rute 44
Places_Route 45,Rute 45
Places_Route 46,Rute 46
Places_Route 47,Rute 47
Places_Route 48,Rute 48

Places_Treasure Beach,Skattestrand
Places_Kindle Road,Tenne vei
Places_Cape Brink,Kappe randen
Places_Three Isle Port,Tre øyene porten
Places_Bond Bridge,Bindingsbro
Places_Five Isle Meadow,Fem øy-eng
Places_Memorial Pillar,Minnesøyle
Places_Water Labyrinth,Vannlabyrint
Places_Resort Gorgeous,Feriestedet Nydelig
Places_Water Path,Vannsti
Places_Grass Path,Gresssti
Places_Outcast Island,Utstøtt øy
Places_Ruin Valley,Ruindalen
Places_Canyon Entrance,Dal inngang
Places_Sevault Canyon,Sevault dalen
Places_Tanoby Ruins,Tanoby ruinene
Places_Safari Zone Gate,Safari sone porten
Places_S.S. Aqua,S.S. Vann
Places_Elite 4,Elite 4
Places_Indigo Plateau,Indigo platået
Places_Twirl Forest,Virvelskogen
Places_Berry Vista,Bærutsikten
Places_Battle Frontier,Kampgrensen
Places_Battle Tower,Kamptårnet
Places_Battle Factory,Kampfabrikken
Places_Rocket Warehouse,Rakettlager
Places_Secret Laboratory,Hemmelig laboratorium

---
Item categories:
item_category_Standard,Standard
item_category_Medicine,Medisin
item_category_Machines,Maskiner
item_category_Pokéballs,PokéBaller
item_category_Plants,Planter
item_category_KeyItems,Nøkkelobjekter
item_category_BattleItems,Kampobjekter
item_category_Mail,Post
---
GameMessages:
game_message_screenshot,Skjermbilde lagret som
game_message_screenshot_failed,Kan ikke lagre skjermbilde
game_message_fullscreen_on,Fullskjerm på
game_message_fullscreen_off,Fullskjerm av
game_message_third_person_on,Tredje personmodus på.
game_message_third_person_off,Tredje personmodus av.
game_message_free_camera_on,Fri bevegelses kameramodus på
game_message_free_camera_off,Fri bevegelses kameramodus på
game_message_audio_on,Lyd på
game_message_audio_off,Lyd av
game_message_continue_autosave,Fortsatt lagret tilstand:
---
Online:
game_message_close_connection,Du lukket co-op spillet.
game_message_disconncet,Du koblet fra verten.
game_message_cannot_connect_client_1,Kan ikke koble til verten (
game_message_cannot_connect_client_2,)!
game_message_client_connect_1,Du ble med i spillet (
game_message_client_connect_2,)!
game_message_client_host_closed_1,Verten (
game_message_client_host_closed_2,) lukket tilkoblingen.
game_message_client_outdated_newer_version,Du har en utdatert eller nyere versjon av spillet.
game_message_host_session_started,Du (vert) startet en co-op-sesjon.
game_message_host_outdated_newer_version,Klienten har en utdatert eller nyere versjon av spillet!
game_message_host_client_accept,En klient ble med i spillet!
game_message_host_client_disconnect,Klienten koblet fra! Co-Op-sesjonen ble lukket.
---
General:
HP,HP
PP,PP
Lv.,Lv.
Level,Level
Attack,Angrep
Defense,Forsvar
Special_Attack,Spesielt Angrep
Special_Defense,Spesielt Forsvar
Speed,Hastighet
---
Pokemon:
pokemon_name_Bulbasaur,Bulbasaur
pokemon_name_Ivysaur,Ivysaur
pokemon_name_Venusaur,Venusaur
pokemon_name_Charmander,Charmander
pokemon_name_Charmeleon,Charmeleon
pokemon_name_Charizard,Charizard
pokemon_name_Squirtle,Squirtle
pokemon_name_Wartortle,Wartortle
pokemon_name_Blastoise,Blastoise
pokemon_name_Caterpie,Caterpie
pokemon_name_Metapod,Metapod
pokemon_name_Butterfree,Butterfree
pokemon_name_Weedle,Weedle
pokemon_name_Kakuna,Kakuna
pokemon_name_Beedrill,Beedrill
pokemon_name_Pidgey,Pidgey
pokemon_name_Pidgeotto,Pidgeotto
pokemon_name_Pidgeot,Pidgeot
pokemon_name_Rattata,Rattata
pokemon_name_Raticate,Raticate
pokemon_name_Spearow,Spearow
pokemon_name_Fearow,Fearow
pokemon_name_Ekans,Ekans
pokemon_name_Arbok,Arbok
pokemon_name_Pikachu,Pikachu
pokemon_name_Raichu,Raichu
pokemon_name_Sandshrew,Sandshrew
pokemon_name_Sandshlash,Sandslash
pokemon_name_Nidoran,Nidoran
pokemon_name_Nidorina,Nidorina
pokemon_name_Nidoqueen,Nidoqueen
pokemon_name_Nidorino,Nidorino
pokemon_name_Nidoking,Nidoking
pokemon_name_Clefairy,Clefairy
pokemon_name_Clefable,Clefable
pokemon_name_Vulpix,Vulpix
pokemon_name_Ninetails,Ninetails
pokemon_name_Jigglypuff,Jigglypuff
pokemon_name_Wigglytuff,Wigglytuff
pokemon_name_Zubat,Zubat
pokemon_name_Golbat,Golbat
pokemon_name_Oddish,Oddish
pokemon_name_Gloom,Gloom
pokemon_name_Vileplume,Vileplume
pokemon_name_Paras,Paras
pokemon_name_Parasect,Parasect
pokemon_name_Venonat,Venonat
pokemon_name_Venomoth,Venomoth
pokemon_name_Diglett,Diglett
pokemon_name_Dugtrio,Dugtrio
pokemon_name_Meowth,Meowth
pokemon_name_Persian,Persian
pokemon_name_Psyduck,Psyduck
pokemon_name_Golduck,Golduck
pokemon_name_Mankey,Mankey
pokemon_name_Primeape,Primeape
pokemon_name_Growlithe,Growlithe
pokemon_name_Arcanine,Arcanine
pokemon_name_Poliwag,Poliwag
pokemon_name_Poliwhirl,Poliwhirl
pokemon_name_Poliwrath,Poliwrath
pokemon_name_Abra,Abra
pokemon_name_Kadabra,Kadabra
pokemon_name_Alakazam,Alakazam
pokemon_name_Machop,Machop
pokemon_name_Machoke,Machoke
pokemon_name_Machamp,Machamp
pokemon_name_Bellsprout,Bellsprout
pokemon_name_Weepinbell,Weepinbell
pokemon_name_Victreebel,Victreebel
pokemon_name_Tentacool,Tentacool
pokemon_name_Tentacruel,Tentacruel
pokemon_name_Geodude,Geodude
pokemon_name_Graveler,Graveler
pokemon_name_Golem,Golem
pokemon_name_Ponyta,Ponyta
pokemon_name_Rapidash,Rapidash
pokemon_name_Slowpoke,Slowpoke
pokemon_name_Slowbro,Slowbro
pokemon_name_Magnemite,Magnemite
pokemon_name_Magneton,Magneton
pokemon_name_Farfetch'd,Farfetch'd
pokemon_name_Doduo,Doduo
pokemon_name_Dodrio,Dodrio
pokemon_name_Seel,Seel
pokemon_name_Dewgong,Dewgong
pokemon_name_Grimer,Grimer
pokemon_name_Muk,Muk
pokemon_name_Shellder,Shellder
pokemon_name_Cloyster,Cloyster
pokemon_name_Gastly,Gastly
pokemon_name_Haunter,Haunter
pokemon_name_Gengar,Gengar
pokemon_name_Onix,Onix
pokemon_name_Drowzee,Drowzee
pokemon_name_Hypno,Hypno
pokemon_name_Krabby,Krabby
pokemon_name_Kingler,Kingler
pokemon_name_Voltorb,Voltorb
pokemon_name_Electrode,Electrode
pokemon_name_Exeggcute,Exeggcute
pokemon_name_Exeggutor,Exeggutor
pokemon_name_Cubone,Cubone
pokemon_name_Marowak,Marowak
pokemon_name_Hitmonlee,Hitmonlee
pokemon_name_Hitmonchan,Hitmonchan
pokemon_name_Lickitung,Lickitung
pokemon_name_Koffing,Koffing
pokemon_name_Weezing,Weezing
pokemon_name_Rhyhorn,Rhyhorn
pokemon_name_Rhydon,Rhydon
pokemon_name_Chansey,Chansey
pokemon_name_Tangela,Tangela
pokemon_name_Kangaskhan,Kangaskhan
pokemon_name_Horsea,Horsea
pokemon_name_Seedra,Seedra
pokemon_name_Goldeen,Goldeen
pokemon_name_Seaking,Seaking
pokemon_name_Staryu,Staryu
pokemon_name_Starmie,Starmie
pokemon_name_Mr. Mime,Mr. Mime
pokemon_name_Scyther,Scyther
pokemon_name_Jynx,Jynx
pokemon_name_Electabuzz,Electabuzz
pokemon_name_Magmar,Magmar
pokemon_name_Pinsir,Pinsir
pokemon_name_Tauros,Tauros
pokemon_name_Magikarp,Magikarp
pokemon_name_Gyarados,Gyarados
pokemon_name_Lapras,Lapras
pokemon_name_Ditto,Ditto
pokemon_name_Eevee,Eevee
pokemon_name_Vaporeon,Vaporeon
pokemon_name_Jolteon,Jolteon
pokemon_name_Flareon,Flareon
pokemon_name_Porygon,Porygon
pokemon_name_Omanyte,Omanyte
pokemon_name_Omastar,Omastar
pokemon_name_Kabuto,Kabuto
pokemon_name_Kabutops,Kabutops
pokemon_name_Aerodactyl,Aerodactyl
pokemon_name_Snorlax,Snorlax
pokemon_name_Articuno,Articuno
pokemon_name_Zapdos,Zapdos
pokemon_name_Moltres,Moltres
pokemon_name_Dratini,Dratini
pokemon_name_Dragonair,Dragonair
pokemon_name_Dragonite,Dragonite
pokemon_name_Mewtwo,Mewtwo
pokemon_name_Mew,Mew
pokemon_name_Chikorita,Chikorita
pokemon_name_Bayleef,Bayleef
pokemon_name_Meganium,Meganium
pokemon_name_Cyndaquil,Cyndaquil
pokemon_name_Quilava,Quilava
pokemon_name_Typhlosion,Typhlosion
pokemon_name_Totodile,Totodile
pokemon_name_Croconaw,Croconaw
pokemon_name_Feraligatr,Feraligatr
pokemon_name_Sentret,Sentret
pokemon_name_Furret,Furret
pokemon_name_Hoothoot,Hoothoot
pokemon_name_Noctowl,Noctowl
pokemon_name_Ledyba,Ledyba
pokemon_name_Ledian,Ledian
pokemon_name_Spinarak,Spinarak
pokemon_name_Ariados,Ariados
pokemon_name_Crobat,Crobat
pokemon_name_Chinchou,Chinchou
pokemon_name_Lanturn,Lanturn
pokemon_name_Pichu,Pichu
pokemon_name_Cleffa,Cleffa
pokemon_name_Igglybuff,Igglybuff
pokemon_name_Togepi,Togepi
pokemon_name_Togetic,Togetic
pokemon_name_Natu,Natu
pokemon_name_Xatu,Xatu
pokemon_name_Mareep,Mareep
pokemon_name_Flaaffy,Flaaffy
pokemon_name_Ampharos,Ampharos
pokemon_name_Bellossom,Bellossom
pokemon_name_Marill,Marill
pokemon_name_Azumarill,Azumarill
pokemon_name_Sudowoodo,Sudowoodo
pokemon_name_Politoed,Politoed
