language_name,Lietuviu kalba
pokemon_screen_give_item_3,
pokemon_screen_give_item_4,~ir pasidÄ—jai 
pokemon_screen_give_item_5,~atgal Ä¯ kuprinÄ™/rankinÄ™.
pokemon_screen_summary,SuvestinÄ—
pokemon_screen_switch,Pozicija
pokemon_screen_item,Daiktas
pokemon_screen_back,Atgal
pokemon_screen_EMPTY,TUÅ ÄŒIA
---
Pokemon Status Screen:
All pages:
poke_status_screen_nature,Prigimtis
poke_status_screen_backadvice,PASPAUDE E GRÄ®Å ITE ATGAL
poke_status_screen_closeadvice,PASPAUSKITE E, KAD UÅ½DARYTI
poke_status_screen_number,# 
Page 1:
poke_status_screen_all_exp,Visa Turima Patirtis
poke_status_screen_nxt_lv,Kitas Lygis UÅ¾.
poke_status_screen_stats_page,Statistikos puslapis
Page 2:
poke_status_screen_OT,1-sis Treneris
poke_status_screen_Item,Daiktas
poke_status_screen_no_item,neturi daikto
poke_status_screen_ability,SugebÄ—jimas
poke_status_screen_details_page,DetaliÅ³ puslapis
Page 3:
poke_status_screen_power,JÄ—ga
poke_status_screen_accuracy,Taiklumas
poke_status_screen_moves_page,AtakÅ³ puslapis
---
Trainer Card Screen:
trainer_screen_trainer_card,Trenerio KortelÄ—
trainer_screen_name,Vardas
trainer_screen_points,TaÅ¡kai
trainer_screen_money,Pinigai
trainer_screen_pokedex,Pokedeksas
trainer_screen_time,Laikas
trainer_screen_collected_badges,Surinkti Å¾enkliukai
trainer_screen_badge, Å¾enkliukas
trainer_screen_backadvice,PASPAUDE E GRÄ®Å ITE ATGAL
trainer_screen_empty_badge,???
---
Save Screen:
save_screen_title,Ar norite iÅ¡saugoti Å¾aidimÄ…?
save_screen_name,Vardas
save_screen_badges,Å½enkliukai
save_screen_money,Pinigai
save_screen_time,Laikas
save_screen_yes,Taip
save_screen_no,Ne
save_screen_success,Å½aidimas iÅ¡saugotas.
---
Options Screen:
option_screen_title,Nustatymai
option_screen_warning,Options aren't saved yet, scroll down and choose "Save options."
option_screen_backadvice,PASPAUDE E GRÄ®Å ITE ATGAL
option_screen_description,ApraÅ¡ymas
option_screen_textspeed,Teksto greitis
option_screen_textspeed_description,The speed the textbox shows up and~displays the text
option_screen_fov,Regos Laukas
option_screen_fov_description,The field of view. The higher the value is,~the more you can see.~Warning: Too large value can cause lags in larger maps.
option_screen_mousespeed,PelÄ—s Jautrumas
option_screen_mousespeed_description,The Mousespeed sets the speed on which the~mouse can rotate the view.
option_screen_volume,Garsas
option_screen_volume_description,The volume of the background music.~This settings is for all save states.
option_screen_render_distance,RenderDistance
option_screen_render_distance_tiny,Tiny
option_screen_render_distance_short,Short
option_screen_render_distance_normal,Normal
option_screen_render_distance_far,Far
option_screen_render_distance_extreme,Extreme
option_screen_render_distance_description,The renderdistance determines,~how far you can see.~By turning this down, you can improve your FPS.
option_screen_graphics,Graphics
option_screen_graphics_fancy,Fancy
option_screen_graphics_fast,Fast
option_screen_graphics_description,Affects if some objects are rendered~or not. By turning this down, you can improve your FPS.~This settings is for all save states.
option_screen_offset_map_quality,Offset map quality
option_screen_offset_map_off,Off
option_screen_offset_map_quality_description,Sets the quality of the offset maps.~The details and update frequency of offset maps increase with this value.~Set this value to 0 to prevent the game from loading offset maps.
option_screen_animations_in_battle,Animations in battle
option_screen_animations_in_battle_no,No
option_screen_animations_in_battle_attacks_off,Attacks off
option_screen_animations_in_battle_yes,Yes
option_screen_animations_in_battle_description,Determines if the game shows battle animations.
option_screen_difficulty,Difficulty
option_screen_difficulty_description,Difficulty mode~Sets the level of difficulty.
option_screen_battle_style,BattleStyle
option_screen_battle_style_shift,Shift
option_screen_battle_style_set,Set
option_screen_battle_style_description,Battle Style~Set: You are not asked to switch out your Pokémon~Shift: You can switch out your Pokémon after defeating an opponent.
option_screen_view_bobbing,View bobbing
option_screen_view_bobbing_description,Turns camera shaking on or off.
option_screen_reset_options,Reset options.
option_screen_reset_options_description,Resets all options.
option_screen_save_options,Save options.
option_screen_save_options_description,Save the options and close the menu.
option_screen_close_menu,Close menu.
option_screen_close_menu_description,Close the menu and do not save~the changes.
---
Item Detail Screen:
item_detail_screen_use,Naudoti
item_detail_screen_give,Duoti
item_detail_screen_trash,IÅ¡mesti
item_detail_screen_back,Atgal
item_detail_screen_give_item,Duoti
---
Apricorn Screen:
apricorn_screen_apricorns,Aprikornai
apricorn_screen_producing,AÅ¡ Å¡iuo momentu gaminu rutulius.~GrÄ¯Å¾kite vÄ—liau.
apricorn_screen_backadvice,PASPAUDE E GRÄ®Å ITE ATGAL
apricorn_screen_choose_apricorns,Pasirinkite Aprikornus iÅ¡ kÅ«riÅ³ norite, kad pagaminÄiau Poke rutuliÅ³
apricorn_screen_ok,GERAI
apricorn_screen_clear,IÅ¡valyti
apricorn_screen_take,Paimti
apricorn_screen_ready,AÅ¡ baigiau gaminti Poke rutulius. Å tai mano darbo vaisiai:
apricorn_screen_obtain, gauti
---
Daycare Screen:
daycare_screen_daycare,VaikÅ³ DarÅ¾elis
daycare_screen_money, / Pinigai: 
daycare_screen_deposit,IndÄ—lis
daycare_screen_grown,Auginamas: 
daycare_screen_lv, / Lv. 
daycare_screen_costs, / UÅ¾mokestis:
daycare_screen_pokedollar, Poke Pinigai
daycare_screen_withdraw,Atsiimti
daycare_screen_backadvice,PASPAUDE E GRÄ®Å ITE ATGAL
daycare_screen_pokemon_choose_header,Ä®duotas Pokemonas
Egg,KiauÅ¡inis
---
Network Screen:
network_screen_isonline,You are in a co-op game already! Please close the connection~to open a new game or connect again!~~~Press E to go back!
network_screen_header,Co-Op Gameplay
network_screen_main_header,You can either join a game or host a~new one to play together with a friend.
network_screen_main_join,Prisijungti
network_screen_main_host,Pakurti
network_screen_main_close,UÅ¾daryto
network_screen_join_header,Join a game:~Enter the IP address of the hosted game.
network_screen_join_cancel,AtÅ¡aukti
network_screen_join_join,Prisijungti
network_screen_host_header,Host a game:~You are about to open your~game for other players in your network.
network_screen_host_cancel,AtÅ¡aukti
network_screen_host_host,Pakurti
---
Donation screen:
donation_screen_donators,Aukotojai
donation_screen_backadvice,Paspauskite e, kad uÅ¾daryti
---
Blackout Screen:
black_out_screen_line1,JÅ«sÅ³ visi Pokemonai jau be samonÄ—s.
black_out_screen_line2,JÅ«s bÅ«site nuveÅ¡tas
black_out_screen_line3,Ä¯ artimiausiÄ… PokemonÅ³ CentrÄ…
black_out_screen_line4,siekiant uÅ¾kirsti keliÄ… tolesnei Å¾alai
black_out_screen_line5,jÅ«sÅ³ Pokemonams.
---
Battle:
---
main:
battle_main_trainer_sent_out_1, sent out~
battle_main_trainer_sent_out_2,.
battle_main_trainer_sent_out_3, is about~to send out~
battle_main_trainer_sent_out_4,!~Do you want to switch~your Pokémon?
battle_main_trainer_sent_out_5,Yes
battle_main_trainer_sent_out_6,No
battle_main_choose_pokemon,Choose Pokémon
battle_main_wild_appear_1,Lauikinis 
battle_main_wild_appear_2,~pasirodÄ—!
battle_main_trainer_intro_1, and~
battle_main_trainer_intro_2, want~to battle!
battle_main_trainer_intro_3, wants~to battle!
battle_main_intro_1,GO! 
battle_main_intro_2,!
battle_main_trainer_defeat_1,~was defeated!
battle_main_trainer_defeat_2, and~
battle_main_trainer_defeat_3,~were defeated!
battle_main_trainer_defeat_4, got 
battle_main_trainer_defeat_5,~PokéDollars for winning!
---
attackTurn:
battle_attack_poison_damage,~buvo suÅ¾eistas nuodÅ³!
battle_attack_curse_damage,~is afflicted by the curse!
battle_attack_fire_damage,~buvo suÅ¾eistas, nes dega!
battle_attack_trainer_item_1, panaudojo~
battle_attack_trainer_item_2,!
battle_attack_asleep, greitai~uÅ¾migo.
battle_attack_woke_up, prabudo!
battle_attack_paralyzed, yra paralyÅ¾iuotas!~Negali pajudÄ—ti!
battle_attack_frozen_free, is no~longer frozen!
battle_attack_frozen, is frozen~solid!
battle_attack_flinched, iÅ¡gasdintas!
battle_attack_no_longer_confused, nebÄ—ra~sumiÅ¡Ä™s!
battle_attack_confused, yra~sumiÅ¡Ä™s.
battle_attack_hit_self_confusion, hits itself~in confusion!
battle_attack_no_PP_left, has~no PP left!*
battle_attack_used, panaudojo 
---
Badges:
badge_Boulder,Riedulio
badge_Cascade,Kaskados
badge_Thunder,Å½aibo
badge_Rainbow,VaivorekÅ¡tÄ—s
badge_Soul,Sielos
badge_Marsh,PelkÄ—s
badge_Volcano,Vulkano
badge_Earth,Å½emÄ—s
badge_Zephyr,Zefyro
badge_Hive,Avilio
badge_Plain,Lygumos
badge_Fog,RÅ«ko
badge_Storm,Audros
badge_Mineral,Mineralo
badge_Glacier,Ledyno
badge_Rising,IÅ¡kilimo
---
Regions:
Johto,DÅ¾otas
Kanto,Kantas
Hoenn,Kauptukas
---
Places:
Places_???,???

Towns:
Places_New Bark Town,Naujosios Å½ievÄ—s Miestelis
Places_Cherrygrove City,VyÅ¡sniÅ³ GiraitÄ—s Miestas
Places_Violet City,Å½ibuoklÄ—s Miestas
Places_Azalea Town,Azalijos Miestelis
Places_Goldenrod City,AuksinÄ—s LazdelÄ—s Miestas
Places_Ecruteak City,Ekrutikos Miestas
Places_Olivine City,Olivinis Miestas
Places_Cianwood City,RÄ…stmeÅ¾diÅ³ Miestas
Places_Mahogany Town,RaudonmedÅ¾io Miestelis
Places_Blackthorn City,ErÅ¡kÄ—ÄiÅ³ Miestas
Places_Pallet Town,PaletÄ—s Miestelis
Places_Viridian City,PradmenÅ³ Miestas
Places_Saffron City,Å afrano Miestas
Places_Pewter City,AlaviniÅ³ IndÅ³ Miestas
Places_Cerulean City,Å½ydrasis Miestas
Places_Celadon City,JÅ«ros Spalvos Miestas
Places_Vermilion City,Cinoberio Miestas
Places_Fuchsia City,Fuksijos Miestas
Places_Cinnabar Island,Gyvsidabrio Sala
Places_Lavender Town,Levandos Miestelis
Places_One Island,Pirmoji Sala
Places_Two Island,Antroji Sala
Places_Three Island,TreÄioji Sala
Places_Four Island,Ketvirtoji Sala
Places_Five Island,Penktoji Sala
Places_Six Island,Å eÅ¡toji Sala
Places_Seven Island,Septintoji Sala
Places_Littleroot Town,Å aknelÄ—s Miestelis
Places_Oldale Town,Senojo Klonio Miestelis
Places_Petalburg City,Å½iedlapio Miestas
Places_Rustboro City,RÅ«dÅ¾borio Miestas
Places_Dewford Town,BraidanÄios Rasos Miestelis
Places_Staleport City,Å iferio Uosto Miestas
Places_Mauville City,DraugiÅ¡kas Miestas
Places_Verdanturf Town,VÄ—jo DurpiÅ³ Miestelis
Places_Fallarbor Town,KrentanÄiÅ³ LapÅ³ Miestelis
Places_Lavaridge Town,Lavos Keteros Miestelis
Places_Fortree City,MedÅ¾iÅ³ Forto Miestas
Places_Lilycove City,Lelyjos Ä®lankÄ—lÄ—s Miestas
Places_Mossdeep City,Gilios PelkÄ—s Miestas
Places_Sootopolis City,Sotopolio Miestas
Places_Pacifidlog Town,Ramiojo Vandenyno RÄ…stÅ³ Miestelis
Places_Ever Grande City,Visados Didis Miestas
Places_Twinleaf Town,Dvilapis Miestelis
Places_Sandgem Town,SmÄ—lÄ—to Perlo Miestelis
Places_Jubilife City,PaÅ¾engÄ™s Miestas
Places_Oreburgh City,Nedidelis RÅ«dos Miestas
Places_Floaroma Town,GÄ—liÅ³ Aromato Miestelis
Places_Eterna City,AmÅ¾inasis Miestas
Places_Hearthome City,Å irdies Vidaus Miestas
Places_Solaceon Town,RamybÄ—s Miestelis
Places_Veilstone City,Akmens Å ydo Miestas
Places_Pastoria City,PraÅ¡alinÄ—s UpÄ—s Miestas
Places_Celestic Town,DangiÅ¡kasis Miestelis
Places_Canalave City,SkalaujanÄio Kanalo Miestas
Places_Snowpoint City,Sniego TaÅ¡ko Miestas
Places_Sunyshore City,SaulÄ—tos PakrantÄ—s Miestas
Places_Pokémon League,PokemonÅ³ Lyga
Places_Fight Area,Kovos Zona
Places_Survival Area,IÅ¡gyvenimo Zona
Places_Resort Area,PoilsiavietÄ—

Special Houses:
Places_Gate,Vartai
Places_Pokemon Center,PokemonÅ³ Centras
Places_Pokemon Mart,PokemonÅ³ ParduotuvÄ—
Places_Elms lab,BerÅ¾o Labaratorija
Places_Azalea Town Gym,Azalijos Gimnastikos SalÄ—
Places_Violet City Gym,Å½ibuoklÄ—s Gimnastikos SalÄ—
Places_Goldenrod City Gym,AuksinÄ—s LazdelÄ—s Gimnastikos SalÄ—
Places_Ecruteak City Gym,Ekrutikos Gimnastikos SalÄ—
Places_Cianwood City Gym,RÄ…stmedÅ¾iÅ³ Gimnastikos SalÄ—
Places_Olivine City Gym,Olivinio Gimnastikos SalÄ—
Places_Mahogany City Gym,RaudonmedÅ¾io Gimnastikos SalÄ—
Places_Blackthorn City Gym,ErÅ¡kÄ—ÄiÅ³ Gimnastikos SalÄ—
Places_Your House,JÅ«sÅ³ Namas
Places_Your Room,JÅ«sÅ³ Kambarys
Places_Daycare,VaikÅ³ DarÅ¾elis
Places_League Reception Gate,Lygos RegistratÅ«ra
Places_Pewter City Gym,AlaviniÅ³ IndÅ³ Gimnastikos SalÄ—
Places_Cerulean City Gym,Å½ydrojo Gimnastikos SalÄ—
Places_Vermilion City Gym,Cinoberio Gimnastikos SalÄ—
Places_Celadon City Gym,JÅ«ros Spalvos Gimnastikos SalÄ—
Places_Fuchsania City Gym,Fuksijos Gimnastikos SalÄ—
Places_Saffron City Gym,Å afrano Gimnastikos SalÄ—
Places_Cinnabar City Gym,Gyvsidabrio Gimnastikos SalÄ—
Places_Viridian City Gym,PradmenÅ³ Gimnastikos SalÄ—
Places_Dance Theater,Å okiÅ³ Tetras
Places_Lighthouse,Å vyturys
Places_Team Rocket HQ,Raketos Komandos BÅ«stinÄ—
Places_Radio Tower,AuksinÄ—s LazdelÄ—s Radijo BokÅ¡tas
Places_Lavender Radio Tower,Levandos Radijo BokÅ¡tas
Places_Petalburg City Gym,Å½iedlapio Gimnastikos SalÄ—
Places_Rustboro City Gym,RÅ«dÅ¾borio Gimnastikos SalÄ—
Places_Dewford Town Gym,BraidanÄios Rasos Gimnastikos SalÄ—
Places_Mauville City Gym,DraugiÅ¡ko Gimnastikos SalÄ—
Places_Lavaridge Town Gym,Lavos Keteros Gimnastikos SalÄ—
Places_Fortree City Gym,MedÅ¾iÅ³ Forto Gimnastikos SalÄ—
Places_Mossdeep City Gym,Gilios PelkÄ—s Gimnastikos SalÄ—
Places_Sootopolis City Gym,Sotopolio Gimnastikos SalÄ—
Places_Hotel Grand Lake,VieÅ¡butis Didysis EÅ¾eras
Places_Oreburgh City Gym,Nedidelis RÅ«dos Gimnastikos SalÄ—
Places_Eterna City Gym,AÅ¾inasis Gimnastikos SalÄ—
Places_Hearthome City Gym,Å irdies Vidaus Gimnastikos SalÄ—
Places_Veilstone City Gym,Akmens Å ydo Gimnastikos SalÄ—
Places_Pastoria City Gym,PraÅ¡alinÄ—s UpÄ—s Gimnastikos SalÄ—
Places_Canalave City Gym,SkalaujanÄio Kanalo Gimnastikos SalÄ—
Places_Snowpoint City Gym,Sniego TaÅ¡ko Gimnastikos SalÄ—
Places_Sunyshore City Gym,SaulÄ—tos PakrantÄ—s Gimnastikos SalÄ—

Dungeons:
Places_Ilex Forest,VabÅ¾dÅ¾iÅ³ MiÅ¡kas
Places_Dark Cave,Tamsos Urvas
Places_Ruins of Alph,Alfos GriuvÄ—siai
Places_Slowpoke Well,LÄ—tapÄ—dÅ¾io Å ulinys
Places_Sprout Tower,DaigÅ³ BoÅ¡ktas
Places_Union Cave,SÄ…jungos Urvas
Places_Mt. Mortar,Skiedinio Kalnas
Places_Tin Tower,Alavo BokÅ¡tas
Places_Tin Tower Peak,Alavo BokÅ¡to VirÅ¡Å«nÄ—
Places_Burned Tower,SudegÄ™s BokÅ¡tas
Places_Glitter Lighthouse,BlizguÄiÅ³ Å vyturys
Places_Ice Path,Ledo PerÄ—ja
Places_National Park,Nacionalinis Parkas
Places_Whirl Islands,SÅ«kurio Salos
Places_Lake of Rage,Ä®nirÅ¡io EÅ¾eras
Places_Underground,PoÅ¾emis
Places_Dragon's Den,DrakonÅ³ IrÅ¡tva
Places_Tohjo Falls,TodÅ¾io Krioklys
Places_Victory Road,PergalÄ—s Kelias
Places_Mt. Silver,Sidabro Kalnas
Places_Indigo Plateau,Indigo PlienaukÅ¡tÄ—
Places_Safari Zone,Safaris
Places_Viridian Forest,PradmenÅ³ MiÅ¡kas
Places_Cerulean Cave,Å½ydrasis Urvas
Places_Power Plant,ElektrinÄ—
Places_Rock Tunnel,AkmenÅ³ Tunelis
Places_Seafoam Islands,Seafoam Islands
Places_Pal Park,BiÄiuliÅ³ Parkas
Places_Diglett's Cave,DigletÅ³ Urvas
Places_Mt. Moon,MÄ—nulio Kalnas
Places_Mt. Ember,Å½arijÅ³ Kalnas
Places_Three Isle Path,TreÄiosios Salos PerÄ—ja
Places_Berry Forest,VaisiÅ³ MiÅ¡kas
Places_Icefall Cave,UÅ¾Å¡alusio Krioklio Urvas
Places_Lost Cave,DingÄ™s Urvas
Places_Trainer Tower,Trenerio BokÅ¡tas
Places_Altering Cave,Modifikuotas Urvas
Places_Pattern Bush,RaÅ¡tÅ³ KrÅ«mas
Places_Dotted Hole,TaÅ¡kuota SkylÄ—
Places_Ancient Ruins,Senoviniai GriuvÄ—siai
Places_Millenial Star Tower,TÅ«kstantmeÄio Kometos BokÅ¡tas
Places_Kolben Tower,StÅ«moklio BokÅ¡tas
Places_Petalburg Woods,Å½iedlapio MiÅ¡kai
Places_Rusturf Tunnel,NykstanÄiÅ³ DurpiÅ³ Tunelis
Places_Granite Cave,Granito Urvas
Places_New Mauville,Naujesis DraugiÅ¡kumas
Places_Mt. Chimney,Kamino Kalnas
Places_Seafloor Cavern,JÅ«ros Dugno Kaverna
Places_Meteor Falls,MeteorÅ³ Kriokliai
Places_Shoal Cave,Seklumos Urvas
Places_Mt. Pyre,Kremacijos LauÅ¾o Kalnas
Places_Jagged Pass, Dantyta PerÄ—ja
Places_Abandoned Ship,Apleistas Laivas
Places_Desert Underpass,Apleistas Tunelis
Places_Mirage Tower,MiraÅ¾o BokÅ¡tas
Places_Lake Verity,Tiesos EÅ¾eras
Places_Eterna Forest,AÅ¾inasis MiÅ¡kas
Places_Mt. Coronet,VainikÄ—lio Kalnas
Places_Solaceon Ruins,RamybÄ—s GriÅ«vÄ—siai
Places_Lake Valor,DrÄ…sos EÅ¾eras
Places_Great Marsh,DidÅ¾ioji PelkÄ—
Places_Lake Acuity,IÅ¡klausimo EÅ¾eras
Places_Snowpoint Temple,Sniego TaÅ¡ko Å ventykla
Places_Sendoff Spring,IÅ¡lydÄ—jimo VersmÄ—
Places_Stark Mountain,AtÅ¡iaurus Kalnas

Routes:
Places_Route 1,1-sis MarÅ¡rutas
Places_Route 2,2-sis MarÅ¡rutas
Places_Route 3,3-sis MarÅ¡rutas
Places_Route 4,4-sis MarÅ¡rutas
Places_Route 5,5-sis MarÅ¡rutas
Places_Route 6,6-sis MarÅ¡rutas
Places_Route 7,7-sis MarÅ¡rutas
Places_Route 8,8-sis MarÅ¡rutas
Places_Route 9,9-sis MarÅ¡rutas
Places_Route 10,10-sis MarÅ¡rutas
Places_Route 11,11-sis MarÅ¡rutas
Places_Route 12,12-sis MarÅ¡rutas
Places_Route 13,13-sis MarÅ¡rutas
Places_Route 14,14-sis MarÅ¡rutas
Places_Route 15,15-sis MarÅ¡rutas
Places_Route 16,16-sis MarÅ¡rutas
Places_Route 17,17-sis MarÅ¡rutas
Places_Route 18,18-sis MarÅ¡rutas
Places_Route 19,19-sis MarÅ¡rutas
Places_Route 20,20-sis MarÅ¡rutas
Places_Route 21,21-sis MarÅ¡rutas
Places_Route 22,22-sis MarÅ¡rutas
Places_Route 23,23-sis MarÅ¡rutas
Places_Route 24,24-sis MarÅ¡rutas
Places_Route 25,25-sis MarÅ¡rutas
Places_Route 26,26-sis MarÅ¡rutas
Places_Route 27,27-sis MarÅ¡rutas
Places_Route 28,28-sis MarÅ¡rutas
Places_Route 29,29-sis MarÅ¡rutas
Places_Route 30,30-sis MarÅ¡rutas
Places_Route 31,31-sis MarÅ¡rutas
Places_Route 32,32-sis MarÅ¡rutas
Places_Route 33,33-sis MarÅ¡rutas
Places_Route 34,34-sis MarÅ¡rutas
Places_Route 35,35-sis MarÅ¡rutas
Places_Route 36,36-sis MarÅ¡tutas
Places_Route 37,37-sis MarÅ¡rutas
Places_Route 38,38-sis MarÅ¡rutas
Places_Route 39,39-sis MarÅ¡rutas
Places_Route 40,40-sis MarÅ¡rutas
Places_Route 41,41-sis MarÅ¡rutas
Places_Route 42,42-sis MarÅ¡rutas
Places_Route 43,43-sis MarÅ¡rutas
Places_Route 44,44-sis MarÅ¡rutas
Places_Route 45,45-sis MarÅ¡rutas
Places_Route 46,46-sis MarÅ¡rutas
Places_Route 47,47-sis MarÅ¡rutas
Places_Route 48,48-sis MarÅ¡rutas
Places_Route 101,101-sis MarÅ¡rutas
Places_Route 102,102-sis MarÅ¡rutas
Places_Route 103,103-sis MarÅ¡rutas
Places_Route 104,104-sis MarÅ¡rutas
Places_Route 105,105-sis MarÅ¡rutas
Places_Route 106,106-sis MarÅ¡rutas
Places_Route 107,107-sis MarÅ¡rutas
Places_Route 108,108-sis MarÅ¡rutas
Places_Route 109,109-sis MarÅ¡rutas
Places_Route 110,110-sis MarÅ¡rutas
Places_Route 111,111-sis MarÅ¡rutas
Places_Route 112,112-sis MarÅ¡rutas
Places_Route 113,113-sis MarÅ¡rutas
Places_Route 114,114-sis MarÅ¡rutas
Places_Route 115,115-sis MarÅ¡rutas
Places_Route 116,116-sis MarÅ¡rutas
Places_Route 117,117-sis MarÅ¡rutas
Places_Route 118,118-sis MarÅ¡rutas
Places_Route 119,119-sis MarÅ¡rutas
Places_Route 120,120-sis MarÅ¡rutas
Places_Route 121,121-sis MarÅ¡rutas
Places_Route 122,122-sis MarÅ¡rutas
Places_Route 123,123-sis MarÅ¡rutas
Places_Route 124,124-sis MarÅ¡rutas
Places_Route 125,125-sis MarÅ¡rutas
Places_Route 126,126-sis MarÅ¡rutas
Places_Route 127,127-sis MarÅ¡rutas
Places_Route 128,128-sis MarÅ¡rutas
Places_Route 129,129-sis MarÅ¡rutas
Places_Route 130,130-sis MarÅ¡rutas
Places_Route 131,131-sis MarÅ¡rutas
Places_Route 132,132-sis MarÅ¡rutas
Places_Route 133,133-sis MarÅ¡rutas
Places_Route 134,134-sis MarÅ¡rutas
Places_Route 201,201-sis MarÅ¡rutas
Places_Route 202,202-sis MarÅ¡rutas
Places_Route 203,203-sis MarÅ¡rutas
Places_Route 204,204-sis MarÅ¡rutas
Places_Route 205,205-sis MarÅ¡rutas
Places_Route 206,206-sis MarÅ¡rutas
Places_Route 207,207-sis MarÅ¡rutas
Places_Route 208,208-sis MarÅ¡rutas
Places_Route 209,209-sis MarÅ¡rutas
Places_Route 210,210-sis MarÅ¡rutas
Places_Route 211,211-sis MarÅ¡rutas
Places_Route 212,212-sis MarÅ¡rutas
Places_Route 213,213-sis MarÅ¡rutas
Places_Route 214,214-sis MarÅ¡rutas
